"('date', '')","('open', 'BTZ')","('high', 'BTZ')","('low', 'BTZ')","('close', 'BTZ')","('volume', 'BTZ')"
2006-12-22 00:00:00+00:00,5.175572395324707,5.227328119277954,5.175572395324707,5.175572395324707,255800
2006-12-26 00:00:00+00:00,5.185918159676848,5.1921289824479535,5.175567183256112,5.190058708190918,46100
2006-12-27 00:00:00+00:00,5.175566826105555,5.187988075926173,5.175566826105555,5.177637100219727,121400
2006-12-28 00:00:00+00:00,5.183852264859893,5.185922145843506,5.17557116146647,5.185922145843506,52800
2006-12-29 00:00:00+00:00,5.185922145843506,5.185922145843506,5.17557116146647,5.185922145843506,38400
2007-01-03 00:00:00+00:00,5.179712948008527,5.185923382169421,5.175572395324707,5.175572395324707,73800
2007-01-04 00:00:00+00:00,5.175572395324707,5.183853500692348,5.175572395324707,5.175572395324707,62600
2007-01-05 00:00:00+00:00,5.175572395324707,5.181783224350438,5.175572395324707,5.175572395324707,42100
2007-01-08 00:00:00+00:00,5.175572395324707,5.179712948008527,5.175572395324707,5.175572395324707,66200
2007-01-09 00:00:00+00:00,5.177639159571675,5.179709434509277,5.175568884634074,5.179709434509277,34900
2007-01-10 00:00:00+00:00,5.175568884634074,5.179709434509277,5.175568884634074,5.179709434509277,41300
2007-01-11 00:00:00+00:00,5.179712948008527,5.179712948008527,5.175572395324707,5.175572395324707,54100
2007-01-12 00:00:00+00:00,5.177642671666617,5.179712948008527,5.175572395324707,5.175572395324707,31600
2007-01-16 00:00:00+00:00,5.179709434509277,5.179709434509277,5.175568884634074,5.179709434509277,46100
2007-01-17 00:00:00+00:00,5.175572395324707,5.179712948008527,5.175572395324707,5.175572395324707,77600
2007-01-18 00:00:00+00:00,5.177642671666617,5.179712948008527,5.175572395324707,5.175572395324707,52700
2007-01-19 00:00:00+00:00,5.175572395324707,5.177642671666617,5.175572395324707,5.175572395324707,63900
2007-01-22 00:00:00+00:00,5.175572395324707,5.177642671666617,5.175572395324707,5.175572395324707,168400
2007-01-23 00:00:00+00:00,5.175572395324707,5.177642671666617,5.175572395324707,5.175572395324707,87100
2007-01-24 00:00:00+00:00,5.177642671666617,5.177642671666617,5.175572395324707,5.175572395324707,70600
2007-01-25 00:00:00+00:00,5.175572395324707,5.177642671666617,5.165221408479992,5.175572395324707,73600
2007-01-26 00:00:00+00:00,5.177642671666617,5.177642671666617,5.175572395324707,5.175572395324707,60200
2007-01-29 00:00:00+00:00,5.175572395324707,5.177642671666617,5.175572395324707,5.175572395324707,288300
2007-01-30 00:00:00+00:00,5.175572395324707,5.177642671666617,5.175572395324707,5.175572395324707,88800
2007-01-31 00:00:00+00:00,5.177642671666617,5.177642671666617,5.175572395324707,5.175572395324707,108700
