"('date', '')","('open', 'BEKE')","('high', 'BEKE')","('low', 'BEKE')","('close', 'BEKE')","('volume', 'BEKE')"
2024-01-02 00:00:00+00:00,15.039139955355216,15.182461405899808,14.862378017589583,15.020030975341797,5808300
2024-01-03 00:00:00+00:00,14.848045924530904,15.254122009824098,14.809827052456827,15.182461738586426,3139300
2024-01-04 00:00:00+00:00,15.058249971596407,15.287563200919859,14.762053033646284,14.809826850891113,7637600
2024-01-05 00:00:00+00:00,14.704725684846773,14.790717465376801,14.422861155792788,14.56140422821045,5986600
2024-01-08 00:00:00+00:00,14.379864486556942,14.408528412755707,14.198324161141931,14.303426742553711,11134100
2024-01-09 00:00:00+00:00,14.055003660860118,14.34164565733209,13.902128172397676,14.198324203491211,4687200
2024-01-10 00:00:00+00:00,14.1123325929629,14.332090882446376,14.06455877444612,14.083667755126953,5443400
2024-01-11 00:00:00+00:00,14.332090882446376,14.418083573534622,14.016784955929339,14.083667755126953,7615500
2024-01-12 00:00:00+00:00,13.997675067452692,14.203101849278093,13.978566086767199,13.988121032714844,6914700
2024-01-16 00:00:00+00:00,13.749253031259265,13.787471904340334,13.472165973619063,13.57726764678955,14434700
2024-01-17 00:00:00+00:00,12.927545624319308,13.328844238928756,12.927545624319308,13.214187622070312,11119800
2024-01-18 00:00:00+00:00,13.300180190088252,13.376617933956936,12.956210342679165,13.032648086547852,8232400
2024-01-19 00:00:00+00:00,12.841552775320869,13.214187458917307,12.554911692318756,12.937100410461426,17846700
2024-01-22 00:00:00+00:00,12.392481220972032,12.92276795185343,12.306488531853487,12.74600601196289,7559800
2024-01-23 00:00:00+00:00,13.214187661551,13.555291758351103,13.175968789150664,13.309735298156738,10602100
2024-01-24 00:00:00+00:00,13.940346674846596,14.045448342575018,13.572489470982475,13.749252319335938,14731900
2024-01-25 00:00:00+00:00,13.797025806010911,14.150551517610232,13.687146660864805,13.787471771240234,8937200
2024-01-26 00:00:00+00:00,13.529493947327856,13.873464719310311,13.453056200489492,13.663260459899902,3181500
2024-01-29 00:00:00+00:00,13.701478872949188,13.806580543518066,13.596376291170523,13.806580543518066,7175800
2024-01-30 00:00:00+00:00,13.519939347157788,13.601154569153145,13.37661879597061,13.433947563171387,6281100
2024-01-31 00:00:00+00:00,13.309734966202472,13.840021693630186,13.309734966202472,13.539048194885254,5693200
2024-02-01 00:00:00+00:00,13.701478040788315,13.787470725671797,13.438722513509926,13.596375465393066,3450900
2024-02-02 00:00:00+00:00,13.367063111214906,13.40050451056406,13.089976059337884,13.214187622070312,5019500
2024-02-05 00:00:00+00:00,13.089975685083163,13.128194556276597,12.47847374598821,12.564465522766113,11499600
