"('date', '')","('open', 'ASML')","('high', 'ASML')","('low', 'ASML')","('close', 'ASML')","('volume', 'ASML')"
2024-01-02 00:00:00+00:00,720.4273559283969,721.1872780310156,704.7753459121102,707.5188598632812,1368700
2024-01-03 00:00:00+00:00,691.4129105658286,697.3737457551844,690.4260237050526,694.1466064453125,952000
2024-01-04 00:00:00+00:00,688.846984512467,700.206061186908,688.3634196193584,691.10693359375,752100
2024-01-05 00:00:00+00:00,691.5708195261745,700.4823762132361,690.4259970803372,694.1170043945312,579200
2024-01-08 00:00:00+00:00,703.3048465095071,711.387451171875,702.5744997380258,711.387451171875,835300
2024-01-09 00:00:00+00:00,701.3507934922054,709.6406663302727,701.3507934922054,706.5615844726562,587000
2024-01-10 00:00:00+00:00,707.0747436261314,710.5584828784984,698.755295283937,708.37744140625,506400
2024-01-11 00:00:00+00:00,711.042108829226,714.6936022823488,699.3376450485209,709.1078491210938,603900
2024-01-12 00:00:00+00:00,703.2654451001761,706.1668949367668,700.3146629665443,703.867431640625,580500
2024-01-16 00:00:00+00:00,698.705986384479,701.9725793321305,693.2879874087022,697.2355346679688,913100
2024-01-17 00:00:00+00:00,696.692799381001,703.8180936846065,686.9522307725065,702.929931640625,835100
2024-01-18 00:00:00+00:00,715.1771663210993,738.4578539769551,715.1771663210993,734.7669067382812,2230400
2024-01-19 00:00:00+00:00,738.6847851535648,749.5109046618866,735.0135950939584,747.8924560546875,1796100
2024-01-22 00:00:00+00:00,756.3500457994973,766.3472136139451,755.4914591270435,756.6263427734375,1418600
2024-01-23 00:00:00+00:00,756.0045911598444,768.4590972639382,752.5406089914306,768.1828002929688,1800700
2024-01-24 00:00:00+00:00,816.0171889346959,853.2524681256662,815.6619241500362,836.1990356445312,7754300
2024-01-25 00:00:00+00:00,857.6046869700956,871.6974603361143,851.6734872649909,857.6836547851562,3449500
2024-01-26 00:00:00+00:00,852.2260960497325,861.7495778972625,842.021720126048,856.3710327148438,1614800
2024-01-29 00:00:00+00:00,856.2032047608327,871.8354568084835,853.8544095282663,871.0459594726562,1034500
2024-01-30 00:00:00+00:00,862.5884176311613,866.2201539201941,851.2984299400149,856.6473999023438,895600
2024-01-31 00:00:00+00:00,849.9266168152785,872.4079269217299,848.1897466530198,858.4138793945312,1251200
2024-02-01 00:00:00+00:00,870.7500017253196,882.0597465680383,865.164188493367,878.8621826171875,1040200
2024-02-02 00:00:00+00:00,867.7103601731583,881.3392647824261,867.5623632906588,878.9805908203125,896400
