"('date', '')","('open', 'BDX')","('high', 'BDX')","('low', 'BDX')","('close', 'BDX')","('volume', 'BDX')"
2024-01-02 00:00:00+00:00,235.37154398839607,240.81987445167618,232.30383837323166,237.50054931640625,1952200
2024-01-03 00:00:00+00:00,237.88766387419952,238.32313991186257,232.3522408524438,232.71029663085938,1842100
2024-01-04 00:00:00+00:00,232.98124588943642,235.58444472741962,232.74898512591545,235.07154846191406,1302300
2024-01-05 00:00:00+00:00,234.01673837523091,236.0005752890078,233.25222254787298,234.27801513671875,989800
2024-01-08 00:00:00+00:00,234.85863477153416,240.62630316458058,234.42315878219654,239.73599243164062,1610700
2024-01-09 00:00:00+00:00,239.20376605709282,241.8263238336331,229.86516685462917,230.1651611328125,2693800
2024-01-10 00:00:00+00:00,230.30061909038326,231.98447634515495,225.191000595135,230.7167510986328,2205000
2024-01-11 00:00:00+00:00,230.53290651883708,231.1909565866571,226.7200435776301,227.42648315429688,1887600
2024-01-12 00:00:00+00:00,228.90710500896273,230.37806039699896,227.38777487966058,228.6458282470703,1363300
2024-01-16 00:00:00+00:00,227.47485532287033,229.91354167207857,225.22972699429423,227.4167938232422,1585900
2024-01-17 00:00:00+00:00,226.3232478676216,229.13934866663712,225.48132660939356,226.7393798828125,1018000
2024-01-18 00:00:00+00:00,226.62324728458088,228.70387787514645,225.75229525735125,227.4167938232422,1210800
2024-01-19 00:00:00+00:00,227.62972857300912,228.50068072550863,225.84910675175345,228.27810668945312,1255500
2024-01-22 00:00:00+00:00,229.35228888628563,231.40387425571475,227.86198937133173,228.27810668945312,909700
2024-01-23 00:00:00+00:00,228.55872109879712,230.63935179622703,228.2877575756795,230.61032104492188,1219200
2024-01-24 00:00:00+00:00,230.29095093275606,231.49094270784434,226.94259512201165,227.00067138671875,1317900
2024-01-25 00:00:00+00:00,228.09422111438943,229.11034173958834,226.31359940467996,228.9361572265625,841000
2024-01-26 00:00:00+00:00,230.12644938529033,231.05546293517352,227.87163423995523,229.0135498046875,892200
2024-01-29 00:00:00+00:00,228.69422304659778,230.30064546703582,228.20067072990474,230.1748504638672,1084000
2024-01-30 00:00:00+00:00,230.80388167278082,231.22968574582927,228.49100479090896,228.58778381347656,1485700
2024-01-31 00:00:00+00:00,230.28128877989843,233.36833844739886,229.1587172100415,231.10385131835938,2355700
2024-02-01 00:00:00+00:00,229.8361309353288,234.52963256835938,225.6168228462388,234.52963256835938,3146300
2024-02-02 00:00:00+00:00,236.7747570170656,238.35216337237225,229.07162603762842,229.5361328125,1724300
2024-02-05 00:00:00+00:00,229.33289791212414,230.89094547845423,227.1651898312501,227.4845428466797,1688100
2024-02-06 00:00:00+00:00,227.86196217052373,232.92319148607663,227.5426091483548,230.97804260253906,1671200
2024-02-07 00:00:00+00:00,231.326438989215,234.51995461863902,231.0941929723583,231.7522430419922,1612500
2024-02-08 00:00:00+00:00,230.77484287906643,235.82640053986168,230.77484287906643,232.94256591796875,1643600
2024-02-09 00:00:00+00:00,233.1844820380832,236.17476746086797,232.56513475213677,235.8844451904297,2095500
2024-02-12 00:00:00+00:00,235.50703637912247,238.06184584139837,233.5231847104966,235.51670837402344,1453400
2024-02-13 00:00:00+00:00,235.61346391532564,237.30699313775355,229.7006270109355,231.35545349121094,1908600
2024-02-14 00:00:00+00:00,231.29738007099544,231.8199630780956,229.2844978270604,230.91029357910156,1599900
2024-02-15 00:00:00+00:00,231.17159978436757,234.48123822967213,230.78449850145225,232.2167510986328,1226400
2024-02-16 00:00:00+00:00,232.07156428268604,236.10700070308226,230.58126506857445,232.99090576171875,1582400
2024-02-20 00:00:00+00:00,232.9909292871294,235.54573874528538,231.77159344337466,232.8941650390625,1193900
2024-02-21 00:00:00+00:00,232.96189649829944,237.58764983460114,232.35223596495712,237.40379333496094,1623800
2024-02-22 00:00:00+00:00,237.2876686814801,237.59734972907364,232.99094012775276,235.75865173339844,1305800
2024-02-23 00:00:00+00:00,236.0779914462105,238.64248764017336,235.0618708699763,238.25538635253906,992700
2024-02-26 00:00:00+00:00,237.9360303745104,238.2941009069285,233.755439884777,233.91995239257812,939400
2024-02-27 00:00:00+00:00,233.03931230498407,235.5747629363609,232.74899003605904,233.4554443359375,919000
2024-02-28 00:00:00+00:00,233.1554520609997,234.5199564865204,231.1328975606039,231.43289184570312,829200
2024-02-29 00:00:00+00:00,231.8490058384956,231.8490058384956,227.47485737474022,227.9490509033203,1812900
2024-03-01 00:00:00+00:00,227.81354535850497,228.7135280496877,225.87808346806216,227.71676635742188,1821300
2024-03-04 00:00:00+00:00,226.80714272354413,228.8974455314205,226.01361086669064,228.04583740234375,1930700
2024-03-05 00:00:00+00:00,229.61354875493356,230.9103048088862,225.5974560658064,225.91680908203125,1335700
2024-03-06 00:00:00+00:00,225.82969858710462,229.03288571868762,225.5393763443189,227.99742126464844,1335300
2024-03-07 00:00:00+00:00,230.34884463595665,232.00064503589797,229.2508764782518,230.88323974609375,1854800
2024-03-08 00:00:00+00:00,230.8735022568852,234.62406771009177,229.66865224935526,233.09857177734375,1692700
2024-03-11 00:00:00+00:00,232.88483538979077,235.50829966549054,231.77715607438847,232.70994567871094,964200
2024-03-12 00:00:00+00:00,231.69943045966113,232.66135349500075,230.51401747619093,231.07757568359375,1219900
2024-03-13 00:00:00+00:00,231.37878210261198,234.60464908677253,230.60145993405456,232.02978515625,961400
2024-03-14 00:00:00+00:00,231.53421065530017,232.9236762967045,228.5221079506324,230.4459686279297,1121600
2024-03-15 00:00:00+00:00,225.59747010305946,231.0192736002033,225.59747010305946,229.99905395507812,2686000
2024-03-18 00:00:00+00:00,230.87352572890478,232.67108235800922,229.71726101543422,230.98040771484375,1141800
2024-03-19 00:00:00+00:00,231.43708684283476,233.52612634504737,231.18444860407516,233.42897033691406,1070400
2024-03-20 00:00:00+00:00,233.05973126935308,233.7787568715202,229.63952261547502,231.1261444091797,784000
2024-03-21 00:00:00+00:00,232.18524615509838,235.11961539189173,230.95124780251024,234.7698211669922,1357000
2024-03-22 00:00:00+00:00,236.01355486673677,239.66696488492303,235.18766204702104,239.26858520507812,2230100
2024-03-25 00:00:00+00:00,238.3941120582049,238.79247692037032,233.73019342386957,234.8184356689453,1755300
