"('date', '')","('open', 'ARM')","('high', 'ARM')","('low', 'ARM')","('close', 'ARM')","('volume', 'ARM')"
2024-01-02 00:00:00+00:00,73.5,73.5199966430664,68.24299621582031,68.91999816894531,9771000
2024-01-03 00:00:00+00:00,67.06999969482422,68.5,65.11000061035156,67.91000366210938,7858200
2024-01-04 00:00:00+00:00,68.98999786376953,69.5999984741211,67.13999938964844,68.38999938964844,5757600
2024-01-05 00:00:00+00:00,69.12000274658203,70.38999938964844,66.5199966430664,67.05000305175781,7356600
2024-01-08 00:00:00+00:00,67.76000213623047,73.18499755859375,67.5199966430664,72.83999633789062,9303500
2024-01-09 00:00:00+00:00,72.80000305175781,72.9800033569336,70.91000366210938,71.87999725341797,5982000
2024-01-10 00:00:00+00:00,73.0,74.37999725341797,69.86000061035156,70.7699966430664,7450600
2024-01-11 00:00:00+00:00,71.66999816894531,71.87200164794922,68.19000244140625,69.7699966430664,6396100
2024-01-12 00:00:00+00:00,70.8499984741211,70.91000366210938,69.01000213623047,70.0,4026000
2024-01-16 00:00:00+00:00,70.0,70.0,67.55000305175781,68.4800033569336,7090300
2024-01-17 00:00:00+00:00,68.0,69.95999908447266,66.66000366210938,69.86000061035156,7209100
2024-01-18 00:00:00+00:00,72.0,74.80000305175781,71.41000366210938,74.2300033569336,11287500
2024-01-19 00:00:00+00:00,75.06999969482422,78.96700286865234,74.43000030517578,78.58000183105469,9956500
2024-01-22 00:00:00+00:00,78.58000183105469,79.94000244140625,76.5,77.11000061035156,7697400
2024-01-23 00:00:00+00:00,77.0,77.58999633789062,75.45999908447266,76.3499984741211,4052500
2024-01-24 00:00:00+00:00,77.19999694824219,77.66999816894531,74.80000305175781,75.73999786376953,6972200
2024-01-25 00:00:00+00:00,76.48999786376953,79.6500015258789,73.26000213623047,73.91000366210938,8817100
2024-01-26 00:00:00+00:00,73.13999938964844,73.88999938964844,70.80000305175781,71.16999816894531,7077100
2024-01-29 00:00:00+00:00,72.0,72.94999694824219,71.19999694824219,72.93000030517578,4318100
2024-01-30 00:00:00+00:00,73.49800109863281,74.1500015258789,70.8499984741211,71.97000122070312,4056600
2024-01-31 00:00:00+00:00,70.66000366210938,72.54000091552734,69.62000274658203,70.66999816894531,5087300
2024-02-01 00:00:00+00:00,71.87000274658203,72.55000305175781,69.31999969482422,70.5199966430664,3476100
2024-02-02 00:00:00+00:00,71.0999984741211,71.94999694824219,70.0,71.0,4298900
2024-02-05 00:00:00+00:00,71.98999786376953,74.27999877929688,71.5999984741211,73.2699966430664,7258100
2024-02-06 00:00:00+00:00,75.0,75.44999694824219,71.80000305175781,72.9800033569336,6899500
2024-02-07 00:00:00+00:00,73.06999969482422,77.70999908447266,72.25,77.01000213623047,22802800
