"('date', '')","('open', 'AIZN')","('high', 'AIZN')","('low', 'AIZN')","('close', 'AIZN')","('volume', 'AIZN')"
2024-01-02 00:00:00+00:00,18.159200591660614,18.377766482782008,18.159200591660614,18.277589797973633,13900
2024-01-03 00:00:00+00:00,18.250270753773677,18.27759040544228,18.1227726769599,18.131879806518555,27700
2024-01-04 00:00:00+00:00,18.15920180962926,18.35044632580984,18.122773290162055,18.222949981689453,20300
2024-01-05 00:00:00+00:00,18.222949743894457,18.432408517075366,18.213842614146497,18.259376525878906,114800
2024-01-08 00:00:00+00:00,18.350446241152913,18.405087283094225,18.277590939562025,18.341339111328125,24200
2024-01-09 00:00:00+00:00,18.359550740520987,18.76025571036374,18.304909706408342,18.641864776611328,20400
2024-01-10 00:00:00+00:00,18.614546874757956,18.82127332683723,18.523477318019918,18.559904098510742,18700
2024-01-11 00:00:00+00:00,18.669187223542387,18.805790685093687,18.36865891332663,18.50526237487793,12900
2024-01-12 00:00:00+00:00,18.64186481228651,18.884109567761175,18.554439504940405,18.878644943237305,12300
2024-01-16 00:00:00+00:00,18.88775144162843,19.09721017997893,18.787574768066406,18.787574768066406,42800
2024-01-17 00:00:00+00:00,18.842219061443192,18.933288614137442,18.587224661300734,18.660079956054688,129900
2024-01-18 00:00:00+00:00,18.7420432914771,18.84221997801455,18.423300710045748,18.44151496887207,24200
2024-01-19 00:00:00+00:00,18.48704949545858,18.796684957802864,18.459729843315337,18.53258514404297,63400
2024-01-22 00:00:00+00:00,18.814896447469984,18.933287379353512,18.669185867464975,18.714719772338867,44600
2024-01-23 00:00:00+00:00,18.805792621673977,18.842221141576193,18.678296276031098,18.74204444885254,24100
2024-01-24 00:00:00+00:00,18.905970311863545,19.05168092514512,18.723831176757812,18.723831176757812,24400
2024-01-25 00:00:00+00:00,18.869540794495418,18.896862184422076,18.74204444885254,18.74204444885254,61300
2024-01-26 00:00:00+00:00,18.78757935294256,18.86134658853422,18.6691901310291,18.723831176757812,15000
2024-01-29 00:00:00+00:00,18.77847259477212,18.987931369016067,18.77847259477212,18.851327896118164,44000
2024-01-30 00:00:00+00:00,18.869540418699124,19.02435815118539,18.81489937694144,18.851327896118164,656000
2024-01-31 00:00:00+00:00,18.84221846223188,19.033462953501427,18.714720397711663,18.805789947509766,29300
2024-02-01 00:00:00+00:00,18.851325754927128,19.15185405597056,18.350444095183274,18.887752532958984,17300
2024-02-02 00:00:00+00:00,18.76936675871782,19.043483915285247,18.714723976186303,18.7602596282959,423500
2024-02-05 00:00:00+00:00,18.732936479701962,18.79668464966769,18.523477710669614,18.605440139770508,15600
2024-02-06 00:00:00+00:00,18.669188006078592,18.76936469268526,18.532584538801434,18.678295135498047,24100
2024-02-07 00:00:00+00:00,18.76025726049806,18.875003962718125,18.64186631696317,18.751150131225586,106700
