"('date', '')","('open', 'CI')","('high', 'CI')","('low', 'CI')","('close', 'CI')","('volume', 'CI')"
1982-03-31 00:00:00+00:00,2.1002682063552713,2.146484375,2.054052037710543,2.146484375,1474200
1982-04-01 00:00:00+00:00,2.1002682063552713,2.146484375,2.054052037710543,2.146484375,1474200
1982-04-02 00:00:00+00:00,2.1978348330932436,2.238916055731219,2.156753786755909,2.2183754444122314,1710900
1982-04-05 00:00:00+00:00,2.2389168739318848,2.259457316456631,2.2183762551064334,2.2389168739318848,1604700
1982-04-06 00:00:00+00:00,2.2132421933974196,2.2286477088928223,2.1978366779020173,2.2286477088928223,1361700
1982-04-07 00:00:00+00:00,2.2389168739318848,2.2543220295247393,2.22351136573762,2.2389168739318848,1206000
1982-04-08 00:00:00+00:00,2.2491869520626846,2.274862858198674,2.22351139852811,2.2594573497772217,1188000
1982-04-12 00:00:00+00:00,2.2491879848515195,2.2697286134117935,2.2235124195271627,2.2286477088928223,805500
1982-04-13 00:00:00+00:00,2.2389159980271063,2.2543211475931857,2.223510495859755,2.2491860389709473,1282500
1982-04-14 00:00:00+00:00,2.233781763300698,2.244051808262366,2.22351136573762,2.2389168739318848,207000
1982-04-15 00:00:00+00:00,2.2235116540987567,2.2389171642909194,2.2081061439065937,2.2337820529937744,331200
1982-04-16 00:00:00+00:00,2.2389171642909194,2.249187210584482,2.2235116540987567,2.2337820529937744,576900
1982-04-19 00:00:00+00:00,2.2491869188935527,2.259457316456631,2.233781763300698,2.2389168739318848,713700
1982-04-20 00:00:00+00:00,2.2337820529937744,2.244052099287337,2.2235116540987567,2.2337820529937744,508500
1982-04-21 00:00:00+00:00,2.218376439370755,2.2286468377869197,2.20810604095459,2.20810604095459,254700
1982-04-22 00:00:00+00:00,2.2183752549529885,2.2286456478856644,2.202969753704287,2.213240146636963,576000
1982-04-23 00:00:00+00:00,2.1002682508222734,2.105403184890747,2.089998030083935,2.105403184890747,3060900
1982-04-26 00:00:00+00:00,2.069456916157232,2.1054028594864236,2.0335111491287092,2.0591866970062256,3427200
1982-04-27 00:00:00+00:00,2.038646550321674,2.059186991561887,2.018105932780767,2.0232410430908203,2219400
1982-04-28 00:00:00+00:00,2.028375471415299,2.043780972127473,2.012969970703125,2.012969970703125,542700
1982-04-29 00:00:00+00:00,2.023240830021893,2.038646335630382,2.0027005672454834,2.0027005672454834,423900
1982-04-30 00:00:00+00:00,1.9821601995457865,1.99243042036763,1.9718898024232456,1.9770249128341675,2470500
