"('date', '')","('open', 'BIPH')","('high', 'BIPH')","('low', 'BIPH')","('close', 'BIPH')","('volume', 'BIPH')"
2024-01-02 00:00:00+00:00,14.817677626905807,15.021022437445895,14.508238918607026,14.535646438598633,6900
2024-01-03 00:00:00+00:00,14.808837948423443,14.808837948423443,14.499399206269917,14.587810516357422,11300
2024-01-04 00:00:00+00:00,14.719540656630398,14.719540656630398,14.527688026428223,14.527688026428223,3200
2024-01-05 00:00:00+00:00,14.808837073482755,14.808837073482755,14.440163500464053,14.552444458007812,6600
2024-01-08 00:00:00+00:00,14.640857848242618,14.959137916564941,14.552446530785792,14.959137916564941,10100
2024-01-09 00:00:00+00:00,14.85304170362296,15.029864311218262,14.85304170362296,15.029864311218262,8000
2024-01-10 00:00:00+00:00,15.118276091837226,15.38350832529008,15.029864785251137,15.233209609985352,15800
2024-01-11 00:00:00+00:00,15.180163150659999,15.639900585266593,15.118275743367837,15.48076057434082,9800
2024-01-12 00:00:00+00:00,15.480759772912828,15.666421985177712,15.46838229209517,15.622217178344727,11100
2024-01-16 00:00:00+00:00,15.591276583633432,15.613378991454923,15.427716742187656,15.520547866821289,9300
2024-01-17 00:00:00+00:00,15.317199537669564,15.471918043583301,15.180161942213653,15.286255836486816,12600
2024-01-18 00:00:00+00:00,15.242049895355171,15.427713795465918,14.92376988733978,15.356985092163086,21900
2024-01-19 00:00:00+00:00,15.376434779044546,15.533805847167969,15.14744969807257,15.533805847167969,7300
2024-01-22 00:00:00+00:00,15.489599387063496,15.852084159851074,15.489599387063496,15.852084159851074,8500
2024-01-23 00:00:00+00:00,15.834402749310335,15.852085345965763,15.679684244338427,15.691176414489746,3700
2024-01-24 00:00:00+00:00,15.869769109940348,15.869769109940348,15.53822798663774,15.560330390930176,2200
2024-01-25 00:00:00+00:00,15.533807828742702,15.922816585675614,15.533807828742702,15.896292686462402,13600
2024-01-26 00:00:00+00:00,15.958179264296694,16.26761799372324,15.781358337699677,15.940498352050781,14700
2024-01-29 00:00:00+00:00,16.267618528100535,16.267618528100535,15.873306348024554,15.922816276550293,10300
2024-01-30 00:00:00+00:00,16.267615289115803,16.43559657481448,16.007688216108786,16.059850692749023,8900
2024-01-31 00:00:00+00:00,16.055431230099106,16.055431230099106,15.524965098840124,15.604535102844238,26000
2024-02-01 00:00:00+00:00,15.657583911199016,16.40023628581694,15.657583911199016,15.958181381225586,5600
2024-02-02 00:00:00+00:00,15.816720667619318,15.883029564083456,15.758369445800781,15.758369445800781,2700
2024-02-05 00:00:00+00:00,15.89629186399933,15.89629186399933,15.471919616377699,15.699135780334473,9200
2024-02-06 00:00:00+00:00,15.745994311552929,15.754835611486078,15.555026954652421,15.593928337097168,6700
