"('date', '')","('open', 'ACP')","('high', 'ACP')","('low', 'ACP')","('close', 'ACP')","('volume', 'ACP')"
2024-01-02 00:00:00+00:00,5.019332408905029,5.049076572591528,4.989588245218531,5.019332408905029,392800
2024-01-03 00:00:00+00:00,4.989588245218531,5.034204490748279,4.967279945164457,5.019332408905029,376400
2024-01-04 00:00:00+00:00,4.974717053128409,5.034205391141194,4.915228715115624,5.011897087097168,374400
2024-01-05 00:00:00+00:00,4.959844081532033,5.019332408905029,4.959844081532033,5.019332408905029,308700
2024-01-08 00:00:00+00:00,4.982153960821213,5.063950619997501,4.974718094302571,5.041642665863037,259100
2024-01-09 00:00:00+00:00,5.011897571898064,5.078822135925293,4.982153400014518,5.078822135925293,375400
2024-01-10 00:00:00+00:00,5.049077971855877,5.1531825736094055,5.026770020197942,5.14574670791626,412200
2024-01-11 00:00:00+00:00,5.101130868597688,5.160619217338193,5.078822560530735,5.13831090927124,319400
2024-01-12 00:00:00+00:00,5.093693722857716,5.160618280328607,5.0713857734197285,5.108565807342529,408400
2024-01-16 00:00:00+00:00,5.130875110626221,5.190363460151168,5.1085668022650985,5.130875110626221,489400
2024-01-17 00:00:00+00:00,5.130874638022701,5.1680546757618835,5.034205901659526,5.049077987670898,592200
2024-01-18 00:00:00+00:00,5.056513688934915,5.13087411135898,5.056513688934915,5.108565807342529,325500
2024-01-19 00:00:00+00:00,5.101130430295378,5.101130430295378,5.063950038237934,5.09369421005249,442300
2024-01-22 00:00:00+00:00,5.108565863211743,5.145746252119626,5.101129998177247,5.116002082824707,579900
2024-01-23 00:00:00+00:00,5.1235470931157,5.1235470931157,5.100910120284724,5.108455657958984,191300
2024-01-24 00:00:00+00:00,5.116002050405465,5.138639025426528,5.085818817363664,5.093364715576172,240000
2024-01-25 00:00:00+00:00,5.108457068367077,5.131094407256254,5.093365629043723,5.12354850769043,162200
2024-01-26 00:00:00+00:00,5.146185398101807,5.146185398101807,5.123548061185419,5.146185398101807,170600
2024-01-29 00:00:00+00:00,5.138639461891072,5.183913775586927,5.131093922845893,5.176368236541748,319800
2024-01-30 00:00:00+00:00,5.1612767310856595,5.183913707733154,5.146185293384577,5.183913707733154,151400
2024-01-31 00:00:00+00:00,5.176368168786742,5.206551044188906,5.1310938556834955,5.183913707733154,543700
2024-02-01 00:00:00+00:00,5.183912769809461,5.183912769809461,5.13863846489768,5.168821334838867,495800
