"('date', '')","('open', 'CNS')","('high', 'CNS')","('low', 'CNS')","('close', 'CNS')","('volume', 'CNS')"
2004-08-16 00:00:00+00:00,5.001705286578398,5.028637428398487,5.001705286578398,5.020942687988281,335200
2004-08-17 00:00:00+00:00,5.0093990883227475,5.0594158052606195,5.001703982995187,5.0401787757873535,149900
2004-08-18 00:00:00+00:00,5.040179063006706,5.290264129638672,5.040179063006706,5.290264129638672,285600
2004-08-19 00:00:00+00:00,5.290266708677763,5.444165229797363,5.271029301807058,5.444165229797363,279700
2004-08-20 00:00:00+00:00,5.4056919933925975,5.463403860004226,5.351827315478138,5.3864545822143555,219400
2004-08-23 00:00:00+00:00,5.424928188323975,5.463402635131546,5.359521225135785,5.424928188323975,98400
2004-08-24 00:00:00+00:00,5.386451603420512,5.417231297514797,5.347976802341207,5.367214202880859,78700
2004-08-25 00:00:00+00:00,5.386450961647538,5.421078205108643,5.3479761651523425,5.421078205108643,88200
2004-08-26 00:00:00+00:00,5.421081848950572,5.459556304383957,5.3479797598578696,5.3864545822143555,70500
2004-08-27 00:00:00+00:00,5.367215696481818,5.655775684109044,5.3479782905887365,5.578826427459717,333300
2004-08-30 00:00:00+00:00,5.386452555359874,5.605758006269892,5.386452555359874,5.571130752563477,92000
2004-08-31 00:00:00+00:00,5.609604462055484,5.732723236083984,5.5595873683756825,5.732723236083984,122700
2004-09-01 00:00:00+00:00,5.767351543897999,5.92125040666577,5.759656802567237,5.848148345947266,247300
2004-09-02 00:00:00+00:00,5.848148573647643,5.92125063721241,5.828911169187285,5.886623382568359,74500
2004-09-03 00:00:00+00:00,5.886622556077755,5.886622556077755,5.8289103507995605,5.8289103507995605,54500
2004-09-07 00:00:00+00:00,5.848147752558959,5.886622556077755,5.801978208490155,5.8289103507995605,65400
2004-09-08 00:00:00+00:00,5.848148345947266,5.867385749658607,5.778894206278578,5.848148345947266,45600
2004-09-09 00:00:00+00:00,5.809673905447541,5.848148345947266,5.7904365017362,5.848148345947266,63800
2004-09-10 00:00:00+00:00,5.867385150361622,5.95972423843696,5.867385150361622,5.9250969886779785,134100
2004-09-13 00:00:00+00:00,5.963571071624756,6.052062595274272,5.944333672202681,5.963571071624756,94700
2004-09-14 00:00:00+00:00,6.0020458428715555,6.0020458428715555,5.9020116598750265,5.952028751373291,50400
2004-09-15 00:00:00+00:00,5.886622552108048,5.95972423843696,5.790435910298841,5.9250969886779785,57200
2004-09-16 00:00:00+00:00,5.925097857715488,6.094386577606201,5.925097857715488,6.094386577606201,55800
2004-09-17 00:00:00+00:00,6.040520545534997,6.136707179594225,6.040520545534997,6.098232746124268,39200
2004-09-20 00:00:00+00:00,6.059759140014648,6.167488455577219,6.0251318862211765,6.059759140014648,112600
2004-09-21 00:00:00+00:00,6.078996976421361,6.15209867646746,6.0636071255209725,6.14440393447876,165800
2004-09-22 00:00:00+00:00,6.148249960420372,6.155945067878221,6.067453533650473,6.1174702644348145,96700
2004-09-23 00:00:00+00:00,6.117467727097344,6.163929462432861,6.117467727097344,6.163929462432861,51700
2004-09-24 00:00:00+00:00,6.156187326397843,6.225880132942282,6.156187326397843,6.222008228302002,55900
2004-09-27 00:00:00+00:00,6.194907414460727,6.2917028428116755,6.117471145629019,6.252984523773193,134700
2004-09-28 00:00:00+00:00,6.252983582653337,6.373009688966362,6.175547325476353,6.256855487823486,129900
2004-09-29 00:00:00+00:00,6.256855824725708,6.256855824725708,6.055521545224647,6.160060405731201,86700
2004-09-30 00:00:00+00:00,6.136828373222025,6.136828373222025,5.885160117189732,5.978083610534668,285700
2004-10-01 00:00:00+00:00,6.001316963478875,6.020676124306896,5.691571497966394,6.016804218292236,188700
2004-10-04 00:00:00+00:00,6.04390460050137,6.163931058123826,6.001314757729605,6.117469310760498,55500
2004-10-05 00:00:00+00:00,6.136830979405848,6.152318234873784,5.997445310949124,6.0864973068237305,31300
2004-10-06 00:00:00+00:00,6.063266751695551,6.268473365554144,6.063266751695551,6.194908618927002,34700
2004-10-07 00:00:00+00:00,6.252982193246577,6.291700497854499,6.156186800971892,6.26846981048584,45900
2004-10-08 00:00:00+00:00,6.287832955103706,6.388500321516184,6.229755827151709,6.3497819900512695,78700
2004-10-11 00:00:00+00:00,6.311062860135621,6.349781186702046,6.194908618927002,6.194908618927002,29800
2004-10-12 00:00:00+00:00,6.198780950233876,6.233627372682611,6.028420744761251,6.078754425048828,50900
2004-10-13 00:00:00+00:00,6.086495667193361,6.086495667193361,5.614133948802051,5.734160423278809,123000
2004-10-14 00:00:00+00:00,5.6993134861554875,5.827083389789316,5.6528517365836555,5.74964714050293,45700
2004-10-15 00:00:00+00:00,5.749649378157777,5.861932075632631,5.749649378157777,5.7728800773620605,31900
2004-10-18 00:00:00+00:00,5.772875093297131,5.772875093297131,5.614130765221782,5.672207832336426,29000
2004-10-19 00:00:00+00:00,5.672212252236357,5.71093057331286,5.517339706420898,5.517339706420898,221200
2004-10-20 00:00:00+00:00,5.513469796845475,5.614137172698975,5.377956362499986,5.614137172698975,108300
