"('date', '')","('open', 'ATRO')","('high', 'ATRO')","('low', 'ATRO')","('close', 'ATRO')","('volume', 'ATRO')"
2024-01-02 00:00:00+00:00,17.290000915527344,17.469999313354492,16.829999923706055,17.229999542236328,162600
2024-01-03 00:00:00+00:00,17.1299991607666,17.1299991607666,16.440000534057617,16.450000762939453,156200
2024-01-04 00:00:00+00:00,16.549999237060547,16.59000015258789,16.1299991607666,16.139999389648438,99600
2024-01-05 00:00:00+00:00,16.049999237060547,16.239999771118164,15.670000076293945,15.720000267028809,158400
2024-01-08 00:00:00+00:00,15.6899995803833,15.960000038146973,15.5600004196167,15.960000038146973,82700
2024-01-09 00:00:00+00:00,15.789999961853027,15.789999961853027,15.289999961853027,15.59000015258789,132200
2024-01-10 00:00:00+00:00,16.329999923706055,17.799999237060547,16.049999237060547,16.65999984741211,273100
2024-01-11 00:00:00+00:00,16.450000762939453,16.700000762939453,15.970000267028809,16.639999389648438,302600
2024-01-12 00:00:00+00:00,16.93000030517578,17.079999923706055,16.75,16.940000534057617,188700
2024-01-16 00:00:00+00:00,16.760000228881836,16.90999984741211,16.170000076293945,16.31999969482422,163400
2024-01-17 00:00:00+00:00,16.030000686645508,16.329999923706055,15.869999885559082,16.09000015258789,92000
2024-01-18 00:00:00+00:00,16.239999771118164,16.579999923706055,16.1299991607666,16.450000762939453,129200
2024-01-19 00:00:00+00:00,16.690000534057617,16.940000534057617,16.360000610351562,16.8700008392334,132600
2024-01-22 00:00:00+00:00,16.950000762939453,17.350000381469727,16.950000762939453,17.15999984741211,124300
2024-01-23 00:00:00+00:00,17.329999923706055,17.559999465942383,17.09000015258789,17.219999313354492,104900
2024-01-24 00:00:00+00:00,17.280000686645508,17.649999618530273,17.280000686645508,17.43000030517578,128400
2024-01-25 00:00:00+00:00,17.709999084472656,17.979999542236328,17.260000228881836,17.399999618530273,135300
2024-01-26 00:00:00+00:00,17.420000076293945,17.450000762939453,17.059999465942383,17.280000686645508,89700
2024-01-29 00:00:00+00:00,17.290000915527344,17.520000457763672,16.979999542236328,17.440000534057617,108000
2024-01-30 00:00:00+00:00,17.31999969482422,17.59000015258789,17.200000762939453,17.399999618530273,70300
2024-01-31 00:00:00+00:00,17.40999984741211,17.489999771118164,16.889999389648438,16.90999984741211,138100
2024-02-01 00:00:00+00:00,16.969999313354492,17.610000610351562,16.899999618530273,17.559999465942383,180500
2024-02-02 00:00:00+00:00,17.3799991607666,17.75,17.270000457763672,17.639999389648438,105500
2024-02-05 00:00:00+00:00,17.520000457763672,17.530000686645508,17.190000534057617,17.440000534057617,72300
2024-02-06 00:00:00+00:00,17.450000762939453,17.989999771118164,17.450000762939453,17.739999771118164,113200
2024-02-07 00:00:00+00:00,17.8700008392334,18.190000534057617,17.700000762939453,17.790000915527344,153000
2024-02-08 00:00:00+00:00,17.780000686645508,18.079999923706055,17.649999618530273,17.989999771118164,101400
2024-02-09 00:00:00+00:00,18.100000381469727,18.469999313354492,18.010000228881836,18.329999923706055,99800
2024-02-12 00:00:00+00:00,18.399999618530273,19.25,18.399999618530273,19.15999984741211,165300
2024-02-13 00:00:00+00:00,18.559999465942383,18.559999465942383,18.040000915527344,18.209999084472656,216700
2024-02-14 00:00:00+00:00,18.540000915527344,19.0,18.469999313354492,18.8700008392334,103000
2024-02-15 00:00:00+00:00,19.09000015258789,19.5,18.860000610351562,19.209999084472656,127900
2024-02-16 00:00:00+00:00,19.1299991607666,19.270000457763672,18.8799991607666,19.190000534057617,121400
2024-02-20 00:00:00+00:00,18.920000076293945,19.219999313354492,18.860000610351562,19.059999465942383,89500
2024-02-21 00:00:00+00:00,19.0,19.1299991607666,18.860000610351562,18.90999984741211,78200
2024-02-22 00:00:00+00:00,18.889999389648438,19.020000457763672,18.530000686645508,18.649999618530273,170000
