"('date', '')","('open', 'BF-A')","('high', 'BF-A')","('low', 'BF-A')","('close', 'BF-A')","('volume', 'BF-A')"
2024-01-02 00:00:00+00:00,57.157399524737784,57.67579132181401,56.53340899173359,56.83100509643555,87900
2024-01-03 00:00:00+00:00,56.63900811047815,56.63900811047815,55.18943510742514,55.842220306396484,82100
2024-01-04 00:00:00+00:00,55.62142169294046,56.37021103071128,55.62142169294046,55.823020935058594,66700
2024-01-05 00:00:00+00:00,55.90941933799388,55.92861577807512,54.719038640480115,55.14142990112305,51600
2024-01-08 00:00:00+00:00,54.7670375627079,55.71742248535156,54.7670375627079,55.71742248535156,67200
2024-01-09 00:00:00+00:00,55.352627418934986,55.659821729178695,55.00703290439956,55.63102340698242,65000
2024-01-10 00:00:00+00:00,55.35262859807649,55.8710203809226,55.247029865047274,55.794219970703125,117800
2024-01-11 00:00:00+00:00,55.55422356190759,55.55422356190759,54.46944524500088,55.41982650756836,41800
2024-01-12 00:00:00+00:00,55.51582690426035,56.29341090619646,55.51582690426035,55.71742248535156,72700
2024-01-16 00:00:00+00:00,56.1590159895366,56.1590159895366,54.24864785141315,54.488643646240234,37600
2024-01-17 00:00:00+00:00,53.7782551825181,54.296646949685574,53.567057722847274,53.883853912353516,53000
2024-01-18 00:00:00+00:00,53.80705369096639,54.38304576605291,53.60545811260637,54.267845153808594,40900
2024-01-19 00:00:00+00:00,54.459841499724256,54.55584200814314,53.70145396241739,54.392642974853516,46400
2024-01-22 00:00:00+00:00,54.344651439923254,54.52704693597057,53.67266244399541,53.730262756347656,43400
2024-01-23 00:00:00+00:00,54.27744619910396,54.79583796007674,53.931851691788786,54.58464050292969,43200
2024-01-24 00:00:00+00:00,55.179828374580936,55.179828374580936,54.22944715243315,54.306243896484375,45400
2024-01-25 00:00:00+00:00,54.287042882606016,55.026230299656376,54.287042882606016,55.016632080078125,61600
2024-01-26 00:00:00+00:00,55.659825129660156,56.89820432838797,55.659825129660156,56.130218505859375,43000
2024-01-29 00:00:00+00:00,55.899815499943905,55.97661590576172,54.59423789740038,55.97661590576172,49600
2024-01-30 00:00:00+00:00,55.45822452000039,55.90941775205662,55.20862686148399,55.47742462158203,37200
2024-01-31 00:00:00+00:00,55.59262122257701,55.61182132403899,53.970251100510666,54.1142463684082,69400
