"('date', '')","('open', 'AZN')","('high', 'AZN')","('low', 'AZN')","('close', 'AZN')","('volume', 'AZN')"
2024-01-02 00:00:00+00:00,64.05951601015906,65.75588978697037,64.04035120844084,65.55462646484375,7503000
2024-01-03 00:00:00+00:00,64.9125055760692,65.83256969588697,64.67290531636603,65.47795867919922,5437000
2024-01-04 00:00:00+00:00,65.8517278393419,66.46510385718554,65.81339092422432,65.91881561279297,4786000
2024-01-05 00:00:00+00:00,65.4683736444968,66.04342012638614,65.26711030064342,65.53546142578125,5011900
2024-01-08 00:00:00+00:00,65.71755655951702,66.36926953479433,65.48754236589544,66.3309326171875,4250800
2024-01-09 00:00:00+00:00,66.39802258781752,66.66637370790835,66.02424676883108,66.04341888427734,4087400
2024-01-10 00:00:00+00:00,66.2063422873236,66.71429364319947,66.1105036505201,66.67595672607422,7251100
2024-01-11 00:00:00+00:00,66.92514720469202,67.00182104372375,65.92840923333873,66.30218505859375,4612400
2024-01-12 00:00:00+00:00,66.46510826701967,66.70470851838745,66.30218185097422,66.53219604492188,3465400
2024-01-16 00:00:00+00:00,64.27037057277363,64.86458184222899,64.1170302106036,64.47163391113281,5618300
2024-01-17 00:00:00+00:00,63.30239086483675,63.70491754197041,62.97653071285743,63.49406814575195,8365200
2024-01-18 00:00:00+00:00,63.16821640945679,64.01160669704663,63.0052826746106,63.75283432006836,7171000
2024-01-19 00:00:00+00:00,64.10744206014286,64.164943780077,63.656992421940515,63.772003173828125,7082000
2024-01-22 00:00:00+00:00,64.92208506591201,65.00834496264403,63.91576835083655,64.3470458984375,10160300
2024-01-23 00:00:00+00:00,63.53239923161899,64.04035056022838,63.177788251260125,63.973262786865234,4984200
2024-01-24 00:00:00+00:00,63.954098909486966,64.14577617557461,63.609073980914005,63.82950210571289,5684600
2024-01-25 00:00:00+00:00,63.74325352312743,64.2320327758789,63.58031979352415,64.2320327758789,4491500
2024-01-26 00:00:00+00:00,64.92207656814634,64.98916434037012,64.1841110736846,64.30870056152344,5021600
