"('date', '')","('open', 'ARHS')","('high', 'ARHS')","('low', 'ARHS')","('close', 'ARHS')","('volume', 'ARHS')"
2024-01-02 00:00:00+00:00,11.344713803197822,11.518653495405585,11.151447990502577,11.277070999145508,827000
2024-01-03 00:00:00+00:00,11.064478364233569,11.286734744422072,10.745589536559544,10.967845916748047,1159500
2024-01-04 00:00:00+00:00,10.919529552518707,11.016162002838685,10.47501770066723,10.677947044372559,1913000
2024-01-05 00:00:00+00:00,10.668283209945484,11.035488722144322,10.532996677588825,10.967845916748047,898900
2024-01-08 00:00:00+00:00,10.938855034870835,11.219090691085453,10.938855034870835,11.083805084228516,638400
2024-01-09 00:00:00+00:00,10.909865852684407,11.08380555060693,10.822896003723145,10.822896003723145,698300
2024-01-10 00:00:00+00:00,10.822895741889228,10.83255926299872,10.39287918972189,10.426700592041016,1453600
2024-01-11 00:00:00+00:00,10.339730535320065,10.484680584328132,10.054663119324687,10.388047218322754,1160100
2024-01-12 00:00:00+00:00,10.38804694448537,10.590976270496018,10.214107258886512,10.339730262756348,728400
2024-01-16 00:00:00+00:00,10.310740687570926,10.711767581799835,10.26242400553625,10.697272300720215,584900
2024-01-17 00:00:00+00:00,10.5909766070912,10.755252777252355,10.465353599228902,10.745589256286621,527400
2024-01-18 00:00:00+00:00,10.880876097185297,10.996835587407656,10.753320565784291,10.977508544921875,734300
2024-01-19 00:00:00+00:00,11.03548859035198,11.29639720916748,10.847054536676112,11.29639720916748,496200
2024-01-22 00:00:00+00:00,11.39303091670301,11.547643572693843,11.32538811009805,11.52831745147705,608200
2024-01-23 00:00:00+00:00,11.547643666213624,11.779562652078095,11.508990501902879,11.721583366394043,855900
2024-01-24 00:00:00+00:00,11.83754218883407,12.219242971151314,11.185269271667131,11.257743835449219,1931800
2024-01-25 00:00:00+00:00,11.47999997125215,11.919680026870656,11.383366607166389,11.905184745788574,954700
2024-01-26 00:00:00+00:00,11.93417532213793,12.146767248876802,11.673265791734686,11.731245994567871,582300
2024-01-29 00:00:00+00:00,11.798889695015532,11.861700741433944,11.58629683052437,11.721583366394043,562200
2024-01-30 00:00:00+00:00,11.624949615623578,11.837542473179857,11.465505202847392,11.827878952026367,838400
2024-01-31 00:00:00+00:00,11.750572563774133,11.808552768824297,11.29639720916748,11.29639720916748,557400
2024-02-01 00:00:00+00:00,11.42202055931026,11.586296736691551,11.165943693411988,11.52831745147705,366000
2024-02-02 00:00:00+00:00,11.39303049938567,11.518653508167786,11.136952721303194,11.451010704040527,654000
2024-02-05 00:00:00+00:00,11.219090476218499,11.393030163490806,11.04031995013446,11.045151710510254,433500
2024-02-06 00:00:00+00:00,11.122458408926416,11.470336873652515,10.996835399606525,11.286734580993652,782100
2024-02-07 00:00:00+00:00,11.315724698501555,11.431684191619809,11.001667622777433,11.1997652053833,702600
2024-02-08 00:00:00+00:00,11.228754163462705,11.78922547346815,11.180437480552428,11.595959663391113,818100
2024-02-09 00:00:00+00:00,11.731246023549014,11.7409086227417,11.547642815427066,11.7409086227417,336300
2024-02-12 00:00:00+00:00,11.750572423947691,12.369023943679075,11.69259314115155,12.311043739318848,697700
2024-02-13 00:00:00+00:00,11.895522588600064,12.084922441017543,11.591128125515217,11.808552742004395,944300
2024-02-14 00:00:00+00:00,12.069461303638402,12.320707321166992,11.954468536638375,12.320707321166992,751100
2024-02-15 00:00:00+00:00,12.3883502262954,12.533300278311811,12.262727216506812,12.513973236083984,607000
2024-02-16 00:00:00+00:00,12.455993607264013,12.697576099030904,12.214411115497121,12.620269775390625,643500
