"('date', '')","('open', 'ANF')","('high', 'ANF')","('low', 'ANF')","('close', 'ANF')","('volume', 'ANF')"
2024-01-02 00:00:00+00:00,87.47000122070312,91.19000244140625,86.91000366210938,90.95999908447266,1548200
2024-01-03 00:00:00+00:00,89.73999786376953,90.97000122070312,88.62999725341797,88.76000213623047,1409700
2024-01-04 00:00:00+00:00,89.91000366210938,94.2699966430664,89.72000122070312,92.5,1742600
2024-01-05 00:00:00+00:00,93.08999633789062,94.25,90.5199966430664,90.54000091552734,1856900
2024-01-08 00:00:00+00:00,92.69000244140625,99.08000183105469,92.25,96.22000122070312,3159300
2024-01-09 00:00:00+00:00,96.5,98.0,93.91000366210938,94.01000213623047,1436200
2024-01-10 00:00:00+00:00,94.19000244140625,97.37000274658203,94.19000244140625,96.70999908447266,1368600
2024-01-11 00:00:00+00:00,97.0,98.7300033569336,95.47000122070312,98.43000030517578,1787800
2024-01-12 00:00:00+00:00,98.20999908447266,99.48999786376953,96.04000091552734,96.79000091552734,1577700
2024-01-16 00:00:00+00:00,96.4000015258789,99.25,95.93000030517578,98.88999938964844,1334800
2024-01-17 00:00:00+00:00,98.26000213623047,99.51000213623047,97.4000015258789,99.47000122070312,976200
2024-01-18 00:00:00+00:00,100.29000091552734,100.80999755859375,95.51000213623047,97.02999877929688,1553900
2024-01-19 00:00:00+00:00,98.12999725341797,101.2699966430664,96.97000122070312,101.11000061035156,1467100
2024-01-22 00:00:00+00:00,102.0,104.66999816894531,101.9000015258789,104.66999816894531,1311700
2024-01-23 00:00:00+00:00,105.19000244140625,105.80999755859375,101.5,102.61000061035156,1103200
2024-01-24 00:00:00+00:00,103.19000244140625,104.97000122070312,101.6500015258789,102.19000244140625,1352400
2024-01-25 00:00:00+00:00,104.01000213623047,104.01000213623047,100.83999633789062,102.45999908447266,654400
2024-01-26 00:00:00+00:00,102.36000061035156,103.87999725341797,101.38999938964844,103.80000305175781,791700
2024-01-29 00:00:00+00:00,104.22000122070312,105.27999877929688,103.22000122070312,105.05999755859375,883900
2024-01-30 00:00:00+00:00,105.1500015258789,106.0,104.44000244140625,105.69000244140625,907500
2024-01-31 00:00:00+00:00,105.3499984741211,105.5199966430664,101.13999938964844,101.9000015258789,1416100
2024-02-01 00:00:00+00:00,103.16999816894531,107.0,102.7699966430664,106.58000183105469,1083300
2024-02-02 00:00:00+00:00,106.2699966430664,110.16999816894531,105.41000366210938,109.47000122070312,1224800
2024-02-05 00:00:00+00:00,108.75,109.87000274658203,104.86000061035156,106.44999694824219,1552200
2024-02-06 00:00:00+00:00,105.94000244140625,106.47000122070312,103.44999694824219,104.08000183105469,1103800
2024-02-07 00:00:00+00:00,103.56999969482422,104.66000366210938,101.58999633789062,103.95999908447266,1146600
2024-02-08 00:00:00+00:00,104.44000244140625,108.27999877929688,104.33999633789062,107.31999969482422,1358600
2024-02-09 00:00:00+00:00,107.47000122070312,110.7699966430664,107.47000122070312,110.11000061035156,1380000
2024-02-12 00:00:00+00:00,111.55999755859375,115.54000091552734,110.80999755859375,114.94000244140625,1969400
2024-02-13 00:00:00+00:00,108.80000305175781,117.41999816894531,108.80000305175781,116.8499984741211,2106400
2024-02-14 00:00:00+00:00,118.66000366210938,120.5199966430664,116.80999755859375,119.25,1679600
2024-02-15 00:00:00+00:00,118.80999755859375,120.88999938964844,118.29000091552734,119.80000305175781,1373800
2024-02-16 00:00:00+00:00,119.91000366210938,122.25,118.58999633789062,120.9000015258789,1206400
2024-02-20 00:00:00+00:00,120.5199966430664,120.9000015258789,115.16000366210938,116.38999938964844,2122800
2024-02-21 00:00:00+00:00,115.12000274658203,117.83999633789062,113.75,117.25,1023100
