"('date', '')","('open', 'CFFI')","('high', 'CFFI')","('low', 'CFFI')","('close', 'CFFI')","('volume', 'CFFI')"
1998-05-07 00:00:00+00:00,8.471141815185547,8.471141815185547,8.471141815185547,8.471141815185547,0
1998-05-08 00:00:00+00:00,8.471141815185547,8.471141815185547,8.471141815185547,8.471141815185547,0
1998-05-11 00:00:00+00:00,8.471141815185547,8.471141815185547,8.471141815185547,8.471141815185547,0
1998-05-12 00:00:00+00:00,8.471141815185547,8.471141815185547,8.471141815185547,8.471141815185547,0
1998-05-13 00:00:00+00:00,8.319874095345686,8.420721054077148,8.319874095345686,8.420721054077148,3000
1998-05-14 00:00:00+00:00,8.420721054077148,8.420721054077148,8.420721054077148,8.420721054077148,2000
1998-05-15 00:00:00+00:00,8.420721054077148,8.420721054077148,8.420721054077148,8.420721054077148,0
1998-05-18 00:00:00+00:00,8.31987190246582,8.31987190246582,8.31987190246582,8.31987190246582,600
1998-05-19 00:00:00+00:00,8.4711431177651,8.4711431177651,8.269449234008789,8.269449234008789,1000
1998-05-20 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,1200
1998-05-21 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-05-22 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-05-26 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-05-27 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-05-28 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,200
1998-05-29 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-06-01 00:00:00+00:00,8.471144388957196,8.471144388957196,8.3702974319458,8.3702974319458,1000
1998-06-02 00:00:00+00:00,8.3702974319458,8.3702974319458,8.3702974319458,8.3702974319458,0
1998-06-03 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,800
1998-06-04 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,1000
1998-06-05 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-06-08 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,1000
1998-06-09 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,1000
1998-06-10 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,2000
1998-06-11 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-06-12 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-06-15 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-06-16 00:00:00+00:00,8.269449234008789,8.269449234008789,8.269449234008789,8.269449234008789,0
1998-06-17 00:00:00+00:00,8.4711431177651,8.571990059643257,8.269449234008789,8.269449234008789,5600
1998-06-18 00:00:00+00:00,8.269449234008789,8.319872704947867,8.269449234008789,8.269449234008789,2800
1998-06-19 00:00:00+00:00,8.168603897094727,8.269450858787254,8.168603897094727,8.168603897094727,2600
1998-06-22 00:00:00+00:00,8.219024943859083,8.219024943859083,8.067754546119344,8.080360412597656,10200
1998-06-23 00:00:00+00:00,8.06775332959883,8.269447162838802,8.06775332959883,8.219023704528809,1200
1998-06-24 00:00:00+00:00,8.06775332959883,8.219023704528809,8.06775332959883,8.219023704528809,1400
1998-06-25 00:00:00+00:00,8.168603897094727,8.168603897094727,8.168603897094727,8.168603897094727,200
1998-06-26 00:00:00+00:00,8.162521099020367,8.26391887664795,8.162521099020367,8.26391887664795,1800
1998-06-29 00:00:00+00:00,8.26391887664795,8.26391887664795,8.26391887664795,8.26391887664795,0
