"('date', '')","('open', 'AMCR')","('high', 'AMCR')","('low', 'AMCR')","('close', 'AMCR')","('volume', 'AMCR')"
2024-01-02 00:00:00+00:00,8.930549251036354,9.199206808078975,8.902756450194993,9.032453536987305,10438900
2024-01-03 00:00:00+00:00,8.939813223151093,8.967606025822516,8.837908930490086,8.89349365234375,7015100
2024-01-04 00:00:00+00:00,8.856437249908252,8.958341540087408,8.81011679673985,8.930549621582031,8856000
2024-01-05 00:00:00+00:00,8.874965740977032,9.02319049835205,8.837909551633278,9.02319049835205,13936300
2024-01-08 00:00:00+00:00,8.958342295088903,9.097302782816422,8.949078026976606,9.08803939819336,8529300
2024-01-09 00:00:00+00:00,9.023189673197615,9.060245859152648,8.986133487242581,9.050982475280762,6565000
2024-01-10 00:00:00+00:00,8.99539802824603,9.060246134767743,8.976869492960288,9.041718482971191,6145400
2024-01-11 00:00:00+00:00,9.041717104904471,9.162149915438805,8.949076209573736,9.115829467773438,12217300
2024-01-12 00:00:00+00:00,9.180678274184734,9.189942541131854,9.013925003093064,9.032453536987305,7266000
2024-01-16 00:00:00+00:00,8.939812817025945,8.939812817025945,8.791588076802087,8.874964714050293,7858400
2024-01-17 00:00:00+00:00,8.800852036422294,8.865700137132048,8.745267319035998,8.763795852661133,5516100
2024-01-18 00:00:00+00:00,8.763797082138135,8.782324734873413,8.689684704218555,8.754532814025879,4523700
2024-01-19 00:00:00+00:00,8.754531311925312,8.800851761049707,8.67115468019922,8.773059844970703,6896200
2024-01-22 00:00:00+00:00,8.773060119473701,8.800852036422294,8.708211135274835,8.763795852661133,6883800
2024-01-23 00:00:00+00:00,8.819380294095097,8.856436476696796,8.745267045402617,8.773059844970703,6110800
2024-01-24 00:00:00+00:00,8.754532178212816,8.782324097041913,8.615571700578156,8.624835968017578,9009100
2024-01-25 00:00:00+00:00,8.745267045402617,8.800851761049707,8.708210862800918,8.773059844970703,6528500
2024-01-26 00:00:00+00:00,8.819382045251212,8.874965888445818,8.782324971802465,8.837909698486328,6430700
2024-01-29 00:00:00+00:00,8.828644261858052,8.893493248322846,8.782323809665812,8.874964714050293,6696000
2024-01-30 00:00:00+00:00,8.828644879751495,8.930550058404327,8.791588692102067,8.856437683105469,7510000
2024-01-31 00:00:00+00:00,8.884228609759376,8.930549060015077,8.698947692225683,8.736003875732422,15845700
2024-02-01 00:00:00+00:00,8.773060119473701,8.791587769609725,8.597042583991353,8.763795852661133,9631800
2024-02-02 00:00:00+00:00,8.698948860168457,8.717476512664843,8.59704367922605,8.698948860168457,10664900
2024-02-05 00:00:00+00:00,8.634098140814395,8.671154321884837,8.50440194881237,8.541458129882812,21050900
2024-02-06 00:00:00+00:00,8.541459300467745,8.624835940175053,8.4766103120903,8.504403114318848,15946000
2024-02-07 00:00:00+00:00,8.661891995863774,8.85643719108765,8.597043008463046,8.68968391418457,15252700
2024-02-08 00:00:00+00:00,8.680419364929428,8.68968363189846,8.21721661834735,8.48587417602539,12951000
2024-02-09 00:00:00+00:00,8.43955360551709,8.4673464060318,8.3283850539256,8.430290222167969,8056900
2024-02-12 00:00:00+00:00,8.448818393350919,8.550722684388093,8.421026474611539,8.504403114318848,8115600
