"('date', '')","('open', 'AXON')","('high', 'AXON')","('low', 'AXON')","('close', 'AXON')","('volume', 'AXON')"
2024-01-02 00:00:00+00:00,254.47000122070312,256.010009765625,249.52999877929688,251.6300048828125,532400
2024-01-03 00:00:00+00:00,250.6199951171875,252.24000549316406,247.27000427246094,247.42999267578125,333000
2024-01-04 00:00:00+00:00,247.42999267578125,249.55999755859375,244.35000610351562,244.92999267578125,494200
2024-01-05 00:00:00+00:00,244.5,246.10000610351562,241.72000122070312,244.2100067138672,408600
2024-01-08 00:00:00+00:00,244.4499969482422,251.75,244.00999450683594,251.61000061035156,344400
2024-01-09 00:00:00+00:00,248.47999572753906,250.5399932861328,247.80999755859375,249.10000610351562,452200
2024-01-10 00:00:00+00:00,249.97999572753906,250.97000122070312,248.0,249.02000427246094,470300
2024-01-11 00:00:00+00:00,249.80999755859375,251.72000122070312,247.1199951171875,249.5399932861328,383900
2024-01-12 00:00:00+00:00,250.80999755859375,253.89999389648438,248.44000244140625,250.69000244140625,485100
2024-01-16 00:00:00+00:00,250.27999877929688,251.61000061035156,246.99000549316406,249.47000122070312,385200
2024-01-17 00:00:00+00:00,247.1199951171875,250.67999267578125,247.1199951171875,250.50999450683594,267200
2024-01-18 00:00:00+00:00,251.05999755859375,254.19000244140625,250.64999389648438,254.10000610351562,252400
2024-01-19 00:00:00+00:00,254.97999572753906,256.8599853515625,251.8699951171875,256.7900085449219,349200
2024-01-22 00:00:00+00:00,258.1199951171875,262.95001220703125,257.1700134277344,259.6600036621094,302700
2024-01-23 00:00:00+00:00,261.2799987792969,261.2799987792969,254.92999267578125,255.00999450683594,252200
2024-01-24 00:00:00+00:00,257.3399963378906,257.3399963378906,250.42999267578125,251.24000549316406,369300
2024-01-25 00:00:00+00:00,252.77999877929688,253.92999267578125,250.6300048828125,252.6999969482422,229300
2024-01-26 00:00:00+00:00,252.5800018310547,254.05999755859375,249.00999450683594,251.36000061035156,257000
2024-01-29 00:00:00+00:00,251.99000549316406,254.77000427246094,251.75,254.72999572753906,281400
2024-01-30 00:00:00+00:00,254.24000549316406,255.74000549316406,253.39999389648438,254.25,189100
2024-01-31 00:00:00+00:00,254.94000244140625,255.02000427246094,248.3800048828125,249.05999755859375,492500
2024-02-01 00:00:00+00:00,250.64999389648438,254.13999938964844,247.0399932861328,252.6999969482422,519400
2024-02-02 00:00:00+00:00,252.6999969482422,258.6199951171875,251.1300048828125,256.989990234375,361900
2024-02-05 00:00:00+00:00,255.97000122070312,257.760009765625,252.1999969482422,257.4700012207031,322300
2024-02-06 00:00:00+00:00,258.6400146484375,259.69000244140625,255.5800018310547,259.4599914550781,226200
2024-02-07 00:00:00+00:00,260.3399963378906,270.95001220703125,259.1199951171875,265.4700012207031,784900
2024-02-08 00:00:00+00:00,265.0,269.5,264.5299987792969,269.0,306100
2024-02-09 00:00:00+00:00,270.82000732421875,271.3900146484375,268.44000244140625,270.9800109863281,247600
2024-02-12 00:00:00+00:00,270.5299987792969,273.5400085449219,265.04998779296875,266.7099914550781,482600
2024-02-13 00:00:00+00:00,261.2799987792969,269.2799987792969,255.67999267578125,264.45001220703125,377100
2024-02-14 00:00:00+00:00,268.0199890136719,271.4200134277344,264.8699951171875,270.8399963378906,307700
2024-02-15 00:00:00+00:00,272.1000061035156,274.7799987792969,268.0,272.7900085449219,257500
2024-02-16 00:00:00+00:00,272.0199890136719,273.9100036621094,269.7099914550781,269.79998779296875,250400
2024-02-20 00:00:00+00:00,267.3800048828125,269.1600036621094,265.2300109863281,267.70001220703125,296100
2024-02-21 00:00:00+00:00,267.0299987792969,268.19000244140625,260.2699890136719,263.7300109863281,396000
2024-02-22 00:00:00+00:00,267.5799865722656,272.30999755859375,267.3800048828125,271.5400085449219,286300
2024-02-23 00:00:00+00:00,272.8699951171875,273.7200012207031,268.989990234375,270.6300048828125,225000
2024-02-26 00:00:00+00:00,272.1499938964844,274.2699890136719,270.82000732421875,271.5899963378906,321900
2024-02-27 00:00:00+00:00,273.510009765625,273.6199951171875,265.32000732421875,271.82000732421875,841700
2024-02-28 00:00:00+00:00,280.70001220703125,318.8999938964844,275.0,309.2200012207031,2658700
2024-02-29 00:00:00+00:00,309.2200012207031,311.0400085449219,299.07000732421875,307.3699951171875,1501500
2024-03-01 00:00:00+00:00,303.0,314.489990234375,302.239990234375,314.25,893700
2024-03-04 00:00:00+00:00,316.0,325.6300048828125,314.95001220703125,319.8800048828125,928100
2024-03-05 00:00:00+00:00,319.4800109863281,319.80999755859375,311.94000244140625,315.1000061035156,620200
2024-03-06 00:00:00+00:00,315.010009765625,318.0,310.25,314.9700012207031,467800
2024-03-07 00:00:00+00:00,315.1000061035156,317.989990234375,313.9599914550781,315.1300048828125,363300
2024-03-08 00:00:00+00:00,315.1300048828125,320.760009765625,308.8299865722656,312.7900085449219,432100
2024-03-11 00:00:00+00:00,310.94000244140625,313.5,308.8299865722656,310.92999267578125,447500
2024-03-12 00:00:00+00:00,309.8500061035156,312.07000732421875,305.9200134277344,311.3699951171875,400500
2024-03-13 00:00:00+00:00,311.55999755859375,312.54998779296875,304.5199890136719,306.7799987792969,603400
2024-03-14 00:00:00+00:00,307.42999267578125,310.8500061035156,304.75,306.42999267578125,427500
2024-03-15 00:00:00+00:00,304.17999267578125,309.70001220703125,304.17999267578125,307.6499938964844,1568800
2024-03-18 00:00:00+00:00,310.70001220703125,312.0,307.1000061035156,308.45001220703125,455900
2024-03-19 00:00:00+00:00,308.45001220703125,312.9100036621094,306.32000732421875,312.1300048828125,410700
2024-03-20 00:00:00+00:00,312.45001220703125,314.510009765625,308.6199951171875,314.2799987792969,298600
2024-03-21 00:00:00+00:00,316.55999755859375,319.1199951171875,314.6300048828125,316.0899963378906,279100
2024-03-22 00:00:00+00:00,318.17999267578125,318.17999267578125,312.3399963378906,316.32000732421875,378000
2024-03-25 00:00:00+00:00,316.5,317.5299987792969,313.8399963378906,315.4700012207031,629800
2024-03-26 00:00:00+00:00,315.4700012207031,320.55999755859375,314.75,319.1400146484375,433800
2024-03-27 00:00:00+00:00,321.0400085449219,321.7699890136719,314.1700134277344,315.6400146484375,401500
2024-03-28 00:00:00+00:00,316.9700012207031,316.9700012207031,311.8500061035156,312.8800048828125,357800
2024-04-01 00:00:00+00:00,314.3399963378906,314.7699890136719,309.9599914550781,311.3699951171875,318000
2024-04-02 00:00:00+00:00,309.3500061035156,310.1199951171875,304.79998779296875,309.3599853515625,340300
2024-04-03 00:00:00+00:00,308.19000244140625,311.67999267578125,308.19000244140625,309.1000061035156,344700
2024-04-04 00:00:00+00:00,312.1199951171875,315.6099853515625,306.6099853515625,306.8299865722656,272600
