"('date', '')","('open', 'AXL')","('high', 'AXL')","('low', 'AXL')","('close', 'AXL')","('volume', 'AXL')"
2024-01-02 00:00:00+00:00,8.699999809265137,8.890000343322754,8.569999694824219,8.739999771118164,796900
2024-01-03 00:00:00+00:00,8.539999961853027,8.680000305175781,8.020000457763672,8.029999732971191,1492700
2024-01-04 00:00:00+00:00,8.029999732971191,8.270000457763672,7.949999809265137,8.1899995803833,1054900
2024-01-05 00:00:00+00:00,8.119999885559082,8.460000038146973,8.079999923706055,8.289999961853027,922900
2024-01-08 00:00:00+00:00,8.220000267028809,8.4399995803833,8.1899995803833,8.390000343322754,665700
2024-01-09 00:00:00+00:00,8.270000457763672,8.34000015258789,8.199999809265137,8.220000267028809,728700
2024-01-10 00:00:00+00:00,8.1899995803833,8.239999771118164,8.050000190734863,8.130000114440918,966400
2024-01-11 00:00:00+00:00,8.079999923706055,8.079999923706055,7.900000095367432,8.0600004196167,798900
2024-01-12 00:00:00+00:00,8.140000343322754,8.180000305175781,7.989999771118164,8.020000457763672,543800
2024-01-16 00:00:00+00:00,7.849999904632568,8.010000228881836,7.829999923706055,7.980000019073486,1032000
2024-01-17 00:00:00+00:00,7.460000038146973,7.510000228881836,7.170000076293945,7.309999942779541,1865500
2024-01-18 00:00:00+00:00,7.360000133514404,7.420000076293945,7.25,7.400000095367432,637200
2024-01-19 00:00:00+00:00,7.380000114440918,7.539999961853027,7.28000020980835,7.519999980926514,824400
2024-01-22 00:00:00+00:00,7.599999904632568,7.78000020980835,7.559999942779541,7.659999847412109,1379800
2024-01-23 00:00:00+00:00,7.849999904632568,7.909999847412109,7.710000038146973,7.75,794400
2024-01-24 00:00:00+00:00,7.869999885559082,7.869999885559082,7.559999942779541,7.639999866485596,687300
2024-01-25 00:00:00+00:00,7.809999942779541,8.0,7.690000057220459,7.989999771118164,1450600
2024-01-26 00:00:00+00:00,8.069999694824219,8.220000267028809,8.0,8.0600004196167,864100
2024-01-29 00:00:00+00:00,8.050000190734863,8.130000114440918,7.869999885559082,8.109999656677246,779200
2024-01-30 00:00:00+00:00,8.119999885559082,8.279999732971191,8.050000190734863,8.210000038146973,936600
2024-01-31 00:00:00+00:00,8.220000267028809,8.380000114440918,8.079999923706055,8.09000015258789,1018600
2024-02-01 00:00:00+00:00,8.199999809265137,8.3100004196167,8.09000015258789,8.229999542236328,1211500
2024-02-02 00:00:00+00:00,8.0600004196167,8.270000457763672,7.949999809265137,8.210000038146973,869200
2024-02-05 00:00:00+00:00,8.0600004196167,8.079999923706055,7.869999885559082,7.900000095367432,765100
2024-02-06 00:00:00+00:00,7.860000133514404,8.210000038146973,7.849999904632568,8.1899995803833,809000
2024-02-07 00:00:00+00:00,8.270000457763672,8.270000457763672,8.010000228881836,8.069999694824219,749600
2024-02-08 00:00:00+00:00,8.050000190734863,8.140000343322754,7.949999809265137,8.119999885559082,680800
2024-02-09 00:00:00+00:00,8.130000114440918,8.239999771118164,8.069999694824219,8.199999809265137,718700
2024-02-12 00:00:00+00:00,8.199999809265137,8.460000038146973,8.199999809265137,8.34000015258789,1190500
2024-02-13 00:00:00+00:00,8.0600004196167,8.069999694824219,7.809999942779541,7.980000019073486,1239800
2024-02-14 00:00:00+00:00,8.170000076293945,8.1899995803833,7.989999771118164,8.149999618530273,1575200
2024-02-15 00:00:00+00:00,8.289999961853027,8.550000190734863,8.1899995803833,8.550000190734863,2500500
2024-02-16 00:00:00+00:00,8.899999618530273,8.979999542236328,8.09000015258789,8.279999732971191,1760600
2024-02-20 00:00:00+00:00,8.100000381469727,8.199999809265137,7.659999847412109,7.71999979019165,2124200
2024-02-21 00:00:00+00:00,7.619999885559082,7.670000076293945,7.320000171661377,7.369999885559082,2147100
2024-02-22 00:00:00+00:00,7.400000095367432,7.510000228881836,7.139999866485596,7.289999961853027,1999100
2024-02-23 00:00:00+00:00,7.289999961853027,7.340000152587891,7.050000190734863,7.090000152587891,2348900
2024-02-26 00:00:00+00:00,7.059999942779541,7.130000114440918,6.679999828338623,6.710000038146973,3985900
2024-02-27 00:00:00+00:00,6.829999923706055,6.869999885559082,6.630000114440918,6.699999809265137,2647400
2024-02-28 00:00:00+00:00,6.78000020980835,7.070000171661377,6.619999885559082,6.619999885559082,3244600
