"('date', '')","('open', 'ARL')","('high', 'ARL')","('low', 'ARL')","('close', 'ARL')","('volume', 'ARL')"
2024-01-02 00:00:00+00:00,17.31999969482422,17.81999969482422,17.31999969482422,17.75,3100
2024-01-03 00:00:00+00:00,17.790000915527344,18.600000381469727,17.600000381469727,18.1200008392334,10800
2024-01-04 00:00:00+00:00,18.059999465942383,18.649999618530273,18.059999465942383,18.649999618530273,27800
2024-01-05 00:00:00+00:00,18.8700008392334,19.84000015258789,18.8700008392334,19.5,6000
2024-01-08 00:00:00+00:00,19.809999465942383,20.670000076293945,19.56999969482422,20.670000076293945,3900
2024-01-09 00:00:00+00:00,20.049999237060547,21.399999618530273,20.010000228881836,20.559999465942383,5200
2024-01-10 00:00:00+00:00,20.34000015258789,22.209999084472656,20.06999969482422,21.5,9700
2024-01-11 00:00:00+00:00,21.540000915527344,21.780000686645508,20.68000030517578,20.68000030517578,12400
2024-01-12 00:00:00+00:00,20.799999237060547,21.299999237060547,20.68000030517578,21.100000381469727,3100
2024-01-16 00:00:00+00:00,21.079999923706055,21.100000381469727,20.1299991607666,20.649999618530273,13800
2024-01-17 00:00:00+00:00,21.0,22.170000076293945,21.0,21.719999313354492,24200
2024-01-18 00:00:00+00:00,21.510000228881836,23.0,21.510000228881836,22.479999542236328,6500
2024-01-19 00:00:00+00:00,22.309999465942383,23.040000915527344,22.309999465942383,23.040000915527344,1500
2024-01-22 00:00:00+00:00,24.0,24.559999465942383,23.549999237060547,24.440000534057617,7500
2024-01-23 00:00:00+00:00,24.329999923706055,25.510000228881836,23.829999923706055,24.549999237060547,4500
2024-01-24 00:00:00+00:00,24.25,25.959999084472656,23.59000015258789,23.59000015258789,6500
2024-01-25 00:00:00+00:00,23.65999984741211,24.15999984741211,22.260000228881836,22.649999618530273,4700
2024-01-26 00:00:00+00:00,22.489999771118164,22.920000076293945,21.709999084472656,22.219999313354492,6500
2024-01-29 00:00:00+00:00,21.889999389648438,22.1299991607666,21.889999389648438,22.1299991607666,900
2024-01-30 00:00:00+00:00,22.34000015258789,22.5,21.6200008392334,22.010000228881836,1300
2024-01-31 00:00:00+00:00,21.5,22.010000228881836,21.209999084472656,22.010000228881836,9500
2024-02-01 00:00:00+00:00,22.360000610351562,23.40999984741211,22.360000610351562,23.059999465942383,5600
2024-02-02 00:00:00+00:00,22.6200008392334,22.84000015258789,21.56999969482422,22.260000228881836,2000
2024-02-05 00:00:00+00:00,21.829999923706055,22.260000228881836,21.690000534057617,21.690000534057617,1200
2024-02-06 00:00:00+00:00,21.40999984741211,21.889999389648438,19.670000076293945,21.15999984741211,4600
2024-02-07 00:00:00+00:00,21.15999984741211,21.989999771118164,21.15999984741211,21.170000076293945,1300
2024-02-08 00:00:00+00:00,20.889999389648438,21.3799991607666,20.889999389648438,21.3799991607666,2300
