"('date', '')","('open', 'CLDT')","('high', 'CLDT')","('low', 'CLDT')","('close', 'CLDT')","('volume', 'CLDT')"
2010-04-16 00:00:00+00:00,10.759196362844328,10.966410190726648,10.700751021273701,10.8920259475708,2368400
2010-04-19 00:00:00+00:00,10.998290873398764,10.998290873398764,10.706065156299063,10.73263168334961,247600
2010-04-20 00:00:00+00:00,10.732631650023176,10.807015898714962,10.626367568969727,10.626367568969727,108600
2010-04-21 00:00:00+00:00,10.626367902552944,10.64762112479457,10.36070870498912,10.541357040405273,233800
2010-04-22 00:00:00+00:00,10.52010236235387,10.642306346513354,10.355393966411878,10.615739822387695,55800
2010-04-23 00:00:00+00:00,10.791072776303643,10.791072776303643,10.482908248901367,10.482908248901367,56100
2010-04-26 00:00:00+00:00,10.42977595587485,10.65824294699448,10.413837058249145,10.621050834655762,90200
2010-04-27 00:00:00+00:00,10.631678352094667,10.769821219327266,10.53604090451755,10.594486236572266,46700
2010-04-28 00:00:00+00:00,10.759199060838778,10.759199060838778,10.599803924560547,10.599803924560547,3600
2010-04-29 00:00:00+00:00,10.652928873657679,10.706060893192449,10.56791804776564,10.63167667388916,7600
2010-04-30 00:00:00+00:00,10.621050366725008,10.626363670169175,10.33945136463828,10.546666145324707,55900
2010-05-03 00:00:00+00:00,10.536037533842979,10.594482847199949,10.419147920537856,10.46696662902832,27300
2010-05-04 00:00:00+00:00,10.440404414156829,10.62636602222766,10.440404414156829,10.567920684814453,57200
2010-05-05 00:00:00+00:00,10.530728972004134,10.663558552404607,10.435091511970308,10.615739822387695,46500
2010-05-06 00:00:00+00:00,10.66355765512548,10.66355765512548,10.339453181928944,10.440403938293457,5900
2010-05-07 00:00:00+00:00,10.32351220102356,10.49353385320859,10.32351220102356,10.456341743469238,42300
2010-05-10 00:00:00+00:00,10.626367568969727,10.934532187933472,10.605114347395283,10.626367568969727,15900
2010-05-11 00:00:00+00:00,10.53072623499221,10.695434588125309,10.504160731180392,10.546666145324707,9200
2010-05-12 00:00:00+00:00,10.493537974357604,10.817642509502184,10.249132006707804,10.626367568969727,19200
2010-05-13 00:00:00+00:00,10.679500216801593,10.727318954653988,10.626368173253438,10.658246994018555,8300
2010-05-14 00:00:00+00:00,10.59980203870597,10.727318327723518,10.573235511779785,10.573235511779785,5500
2010-05-17 00:00:00+00:00,10.62636189250972,10.64230180017567,10.254438820908344,10.328824043273926,23400
2010-05-18 00:00:00+00:00,10.413839895926206,10.413839895926206,9.776257468527104,10.057856559753418,113100
2010-05-19 00:00:00+00:00,10.121611080171691,10.30225934523822,10.020661354064941,10.020661354064941,13800
2010-05-20 00:00:00+00:00,9.882519934931615,9.946277559243448,9.58498199018834,9.664679527282715,4600
