"('date', '')","('open', 'BMBL')","('high', 'BMBL')","('low', 'BMBL')","('close', 'BMBL')","('volume', 'BMBL')"
2024-01-02 00:00:00+00:00,14.5,14.8100004196167,14.399999618530273,14.5,2370600
2024-01-03 00:00:00+00:00,14.199999809265137,14.449999809265137,13.850000381469727,13.979999542236328,2717200
2024-01-04 00:00:00+00:00,13.869999885559082,14.479999542236328,13.760000228881836,14.15999984741211,2366800
2024-01-05 00:00:00+00:00,14.0,14.729999542236328,13.984999656677246,14.010000228881836,2254900
2024-01-08 00:00:00+00:00,14.039999961853027,14.229999542236328,13.960000038146973,14.100000381469727,1359600
2024-01-09 00:00:00+00:00,14.71500015258789,15.048999786376953,14.220000267028809,14.40999984741211,3933700
2024-01-10 00:00:00+00:00,14.359999656677246,14.430000305175781,13.949999809265137,14.199999809265137,1985200
2024-01-11 00:00:00+00:00,14.140000343322754,14.3100004196167,13.670000076293945,14.170000076293945,2710000
2024-01-12 00:00:00+00:00,14.289999961853027,14.49899959564209,13.869999885559082,13.869999885559082,2120400
2024-01-16 00:00:00+00:00,13.829999923706055,14.140000343322754,13.680000305175781,14.130000114440918,2471500
2024-01-17 00:00:00+00:00,13.850000381469727,13.984999656677246,13.529999732971191,13.539999961853027,2519100
2024-01-18 00:00:00+00:00,13.670000076293945,14.020000457763672,13.289999961853027,14.0,3192800
2024-01-19 00:00:00+00:00,14.140000343322754,14.140000343322754,13.71500015258789,13.770000457763672,1420400
2024-01-22 00:00:00+00:00,13.850000381469727,14.25,13.789999961853027,13.970000267028809,1645900
2024-01-23 00:00:00+00:00,14.25,14.430000305175781,13.98799991607666,14.100000381469727,1358400
2024-01-24 00:00:00+00:00,14.420000076293945,14.4399995803833,13.970000267028809,14.079999923706055,1353400
2024-01-25 00:00:00+00:00,14.100000381469727,14.510000228881836,13.789999961853027,14.369999885559082,4013700
2024-01-26 00:00:00+00:00,14.420000076293945,14.645000457763672,14.149999618530273,14.199999809265137,1842500
2024-01-29 00:00:00+00:00,14.229999542236328,14.475000381469727,14.020000457763672,14.350000381469727,1836600
2024-01-30 00:00:00+00:00,14.180000305175781,14.289999961853027,13.819999694824219,13.84000015258789,2518400
2024-01-31 00:00:00+00:00,13.529999732971191,14.300000190734863,13.350000381469727,13.720000267028809,2441900
2024-02-01 00:00:00+00:00,13.729999542236328,13.960000038146973,13.414999961853027,13.9399995803833,2632500
2024-02-02 00:00:00+00:00,13.779999732971191,14.0,13.680000305175781,13.710000038146973,1602600
2024-02-05 00:00:00+00:00,13.600000381469727,13.670000076293945,13.140000343322754,13.199999809265137,2087900
2024-02-06 00:00:00+00:00,13.149999618530273,13.829999923706055,13.149999618530273,13.779999732971191,2088000
2024-02-07 00:00:00+00:00,13.84000015258789,13.859999656677246,13.399999618530273,13.40999984741211,2168700
2024-02-08 00:00:00+00:00,13.420000076293945,13.460000038146973,12.960000038146973,12.960000038146973,2143600
2024-02-09 00:00:00+00:00,13.0,13.375,12.859999656677246,13.279999732971191,2181600
