"('date', '')","('open', 'ALTI')","('high', 'ALTI')","('low', 'ALTI')","('close', 'ALTI')","('volume', 'ALTI')"
2024-01-02 00:00:00+00:00,8.979999542236328,9.119999885559082,7.559999942779541,8.140000343322754,69800
2024-01-03 00:00:00+00:00,8.25,8.25,7.380000114440918,7.610000133514404,56500
2024-01-04 00:00:00+00:00,7.829999923706055,7.829999923706055,7.119999885559082,7.239999771118164,52200
2024-01-05 00:00:00+00:00,7.170000076293945,7.920000076293945,7.159999847412109,7.550000190734863,77000
2024-01-08 00:00:00+00:00,7.610000133514404,7.610000133514404,7.150000095367432,7.349999904632568,47100
2024-01-09 00:00:00+00:00,7.130000114440918,7.25,6.619999885559082,6.739999771118164,74900
2024-01-10 00:00:00+00:00,6.610000133514404,6.800000190734863,6.510000228881836,6.610000133514404,62200
2024-01-11 00:00:00+00:00,6.690000057220459,7.0,6.539999961853027,6.929999828338623,107400
2024-01-12 00:00:00+00:00,7.050000190734863,7.050000190734863,6.309999942779541,6.519999980926514,95700
2024-01-16 00:00:00+00:00,6.427999973297119,6.848999977111816,6.25,6.300000190734863,45500
2024-01-17 00:00:00+00:00,6.159999847412109,6.519999980926514,6.019999980926514,6.159999847412109,35300
2024-01-18 00:00:00+00:00,6.300000190734863,6.78000020980835,6.010000228881836,6.170000076293945,157800
2024-01-19 00:00:00+00:00,6.260000228881836,6.320000171661377,6.105000019073486,6.28000020980835,52100
2024-01-22 00:00:00+00:00,6.210000038146973,6.434999942779541,5.75,6.0,85700
2024-01-23 00:00:00+00:00,6.050000190734863,6.230999946594238,5.480000019073486,5.639999866485596,90500
2024-01-24 00:00:00+00:00,5.619999885559082,5.747000217437744,5.425000190734863,5.650000095367432,58900
2024-01-25 00:00:00+00:00,6.590000152587891,7.380000114440918,6.46999979019165,6.670000076293945,268600
2024-01-26 00:00:00+00:00,7.070000171661377,7.25,6.420000076293945,6.650000095367432,109600
2024-01-29 00:00:00+00:00,6.650000095367432,7.099999904632568,6.650000095367432,7.010000228881836,67800
2024-01-30 00:00:00+00:00,6.96999979019165,7.03000020980835,6.5,6.610000133514404,29600
2024-01-31 00:00:00+00:00,6.431000232696533,6.610000133514404,6.210000038146973,6.210000038146973,37300
2024-02-01 00:00:00+00:00,6.550000190734863,6.550000190734863,6.068999767303467,6.170000076293945,44000
2024-02-02 00:00:00+00:00,6.070000171661377,6.53000020980835,5.400000095367432,5.800000190734863,126200
2024-02-05 00:00:00+00:00,5.900000095367432,5.900000095367432,5.204999923706055,5.260000228881836,105100
2024-02-06 00:00:00+00:00,5.230000019073486,5.485000133514404,5.199999809265137,5.360000133514404,57400
2024-02-07 00:00:00+00:00,5.300000190734863,5.510000228881836,5.210000038146973,5.429999828338623,37300
2024-02-08 00:00:00+00:00,5.480000019073486,5.764999866485596,5.349999904632568,5.699999809265137,47500
2024-02-09 00:00:00+00:00,5.53000020980835,5.849999904632568,5.53000020980835,5.619999885559082,51000
2024-02-12 00:00:00+00:00,5.480000019073486,5.670000076293945,5.409999847412109,5.5,67800
2024-02-13 00:00:00+00:00,5.269999980926514,5.449999809265137,4.880000114440918,5.099999904632568,79600
2024-02-14 00:00:00+00:00,5.059999942779541,5.78000020980835,4.769999980926514,5.710000038146973,166100
2024-02-15 00:00:00+00:00,5.829999923706055,5.829999923706055,5.559999942779541,5.650000095367432,41000
2024-02-16 00:00:00+00:00,5.710000038146973,5.75,5.440000057220459,5.550000190734863,26500
2024-02-20 00:00:00+00:00,5.5,5.96999979019165,5.090000152587891,5.739999771118164,66900
2024-02-21 00:00:00+00:00,5.650000095367432,5.96999979019165,5.650000095367432,5.820000171661377,55300
2024-02-22 00:00:00+00:00,5.710000038146973,7.25,5.710000038146973,7.050000190734863,371200
2024-02-23 00:00:00+00:00,5.820000171661377,6.409999847412109,5.239999771118164,5.909999847412109,177400
2024-02-26 00:00:00+00:00,5.960000038146973,6.269999980926514,5.909999847412109,6.099999904632568,65600
