"('date', '')","('open', 'APLD')","('high', 'APLD')","('low', 'APLD')","('close', 'APLD')","('volume', 'APLD')"
2024-01-02 00:00:00+00:00,6.829999923706055,7.014999866485596,6.739999771118164,6.960000038146973,2643200
2024-01-03 00:00:00+00:00,6.630000114440918,7.059999942779541,6.360000133514404,6.840000152587891,3440200
2024-01-04 00:00:00+00:00,6.840000152587891,7.360000133514404,6.71999979019165,7.28000020980835,3044200
2024-01-05 00:00:00+00:00,7.150000095367432,7.480000019073486,7.050000190734863,7.369999885559082,2830000
2024-01-08 00:00:00+00:00,7.400000095367432,7.599999904632568,7.03000020980835,7.590000152587891,2871200
2024-01-09 00:00:00+00:00,7.619999885559082,8.595000267028809,7.420000076293945,8.520000457763672,5769200
2024-01-10 00:00:00+00:00,8.449999809265137,8.649999618530273,8.071999549865723,8.220000267028809,3534000
2024-01-11 00:00:00+00:00,8.239999771118164,8.649999618530273,7.440000057220459,7.840000152587891,4211800
2024-01-12 00:00:00+00:00,7.880000114440918,7.929999828338623,7.460000038146973,7.489999771118164,5435500
2024-01-16 00:00:00+00:00,6.25,6.340000152587891,5.510000228881836,5.53000020980835,13293900
2024-01-17 00:00:00+00:00,5.360000133514404,5.449999809265137,5.0,5.130000114440918,6059500
2024-01-18 00:00:00+00:00,5.289999961853027,5.460000038146973,4.824999809265137,4.929999828338623,5269700
2024-01-19 00:00:00+00:00,5.010000228881836,5.019999980926514,4.650000095367432,4.860000133514404,5808100
2024-01-22 00:00:00+00:00,4.920000076293945,5.127999782562256,4.619999885559082,4.869999885559082,3799700
2024-01-23 00:00:00+00:00,4.929999828338623,4.949999809265137,4.699999809265137,4.829999923706055,2119700
2024-01-24 00:00:00+00:00,5.0,5.03000020980835,4.739999771118164,4.78000020980835,1979900
2024-01-25 00:00:00+00:00,4.849999904632568,5.210000038146973,4.78000020980835,5.150000095367432,2725000
2024-01-26 00:00:00+00:00,5.260000228881836,5.380000114440918,4.960999965667725,5.03000020980835,2241500
2024-01-29 00:00:00+00:00,5.079999923706055,5.480000019073486,5.050000190734863,5.460000038146973,2562500
2024-01-30 00:00:00+00:00,5.449999809265137,5.578000068664551,5.360000133514404,5.400000095367432,1382600
2024-01-31 00:00:00+00:00,5.349999904632568,5.534999847412109,5.114999771118164,5.139999866485596,2230300
