"('date', '')","('open', 'BILL')","('high', 'BILL')","('low', 'BILL')","('close', 'BILL')","('volume', 'BILL')"
2024-01-02 00:00:00+00:00,80.05000305175781,80.77999877929688,76.19999694824219,77.2300033569336,2333400
2024-01-03 00:00:00+00:00,75.19999694824219,75.79299926757812,73.68000030517578,74.47000122070312,1662800
2024-01-04 00:00:00+00:00,73.93000030517578,75.08999633789062,71.87999725341797,74.08000183105469,1456000
2024-01-05 00:00:00+00:00,74.66000366210938,76.2249984741211,73.30999755859375,75.0,1472400
2024-01-08 00:00:00+00:00,75.51000213623047,78.69000244140625,75.51000213623047,78.05000305175781,1618300
2024-01-09 00:00:00+00:00,77.41000366210938,79.3499984741211,76.55000305175781,76.79000091552734,1486100
2024-01-10 00:00:00+00:00,76.83000183105469,77.58999633789062,74.1500015258789,76.38999938964844,1641100
2024-01-11 00:00:00+00:00,76.79000091552734,76.79000091552734,73.77100372314453,75.41999816894531,1624300
2024-01-12 00:00:00+00:00,75.75,76.68800354003906,74.58999633789062,75.0,1338300
2024-01-16 00:00:00+00:00,74.0999984741211,75.47000122070312,73.28500366210938,73.87999725341797,1826500
2024-01-17 00:00:00+00:00,72.55000305175781,73.94000244140625,70.73999786376953,73.8499984741211,1742200
2024-01-18 00:00:00+00:00,74.88999938964844,75.05000305175781,72.0999984741211,72.61000061035156,1705600
2024-01-19 00:00:00+00:00,73.25,73.25499725341797,70.36000061035156,72.5,1573700
2024-01-22 00:00:00+00:00,73.44999694824219,76.58000183105469,73.30000305175781,75.12000274658203,2005100
2024-01-23 00:00:00+00:00,74.80000305175781,77.0999984741211,73.30999755859375,74.93000030517578,1642400
2024-01-24 00:00:00+00:00,76.45999908447266,76.52999877929688,73.1500015258789,73.16999816894531,1242700
2024-01-25 00:00:00+00:00,74.12000274658203,74.79000091552734,73.55999755859375,73.97000122070312,816500
2024-01-26 00:00:00+00:00,73.97000122070312,75.56999969482422,73.7300033569336,74.37999725341797,1163400
2024-01-29 00:00:00+00:00,75.0,79.95999908447266,74.78500366210938,79.91999816894531,1560400
2024-01-30 00:00:00+00:00,79.5,79.87000274658203,77.91000366210938,78.20999908447266,972500
2024-01-31 00:00:00+00:00,78.37999725341797,80.79000091552734,77.78500366210938,78.05000305175781,1874000
2024-02-01 00:00:00+00:00,79.0,79.45999908447266,76.19000244140625,78.20999908447266,1576100
2024-02-02 00:00:00+00:00,77.91999816894531,80.19000244140625,76.38999938964844,79.58000183105469,1450000
2024-02-05 00:00:00+00:00,79.0199966430664,79.34300231933594,74.75,75.97000122070312,3085700
2024-02-06 00:00:00+00:00,76.68000030517578,77.30999755859375,73.87999725341797,76.69999694824219,2885800
2024-02-07 00:00:00+00:00,77.4800033569336,77.9800033569336,73.4000015258789,74.93000030517578,3340400
2024-02-08 00:00:00+00:00,75.22000122070312,77.2750015258789,73.94000244140625,75.75,7346400
