"('date', '')","('open', 'BETR')","('high', 'BETR')","('low', 'BETR')","('close', 'BETR')","('volume', 'BETR')"
2024-01-02 00:00:00+00:00,39.5,41.900001525878906,36.849998474121094,39.400001525878906,43024
2024-01-03 00:00:00+00:00,38.45000076293945,40.0,35.0,36.25,41188
2024-01-04 00:00:00+00:00,35.75,37.849998474121094,33.150001525878906,33.95000076293945,52454
2024-01-05 00:00:00+00:00,33.099998474121094,36.400001525878906,33.099998474121094,33.599998474121094,27256
2024-01-08 00:00:00+00:00,34.45000076293945,38.0,33.099998474121094,37.400001525878906,36550
2024-01-09 00:00:00+00:00,36.849998474121094,37.0,35.0,35.95000076293945,14738
2024-01-10 00:00:00+00:00,35.75,35.900001525878906,34.150001525878906,34.400001525878906,16546
2024-01-11 00:00:00+00:00,34.5,36.0,32.54999923706055,33.5,23918
2024-01-12 00:00:00+00:00,33.0,35.0,32.75,33.0,22718
2024-01-16 00:00:00+00:00,32.5,33.20000076293945,30.600000381469727,32.5,27300
2024-01-17 00:00:00+00:00,31.700000762939453,32.150001525878906,29.700000762939453,29.899999618530273,23704
2024-01-18 00:00:00+00:00,30.5,30.5,28.049999237060547,28.899999618530273,17468
2024-01-19 00:00:00+00:00,29.0,30.0,28.0,28.850000381469727,15718
2024-01-22 00:00:00+00:00,29.299999237060547,30.5,28.75,29.299999237060547,16956
2024-01-23 00:00:00+00:00,29.25,31.0,29.0,29.5,14424
2024-01-24 00:00:00+00:00,29.75,31.350000381469727,29.0,29.75,13414
2024-01-25 00:00:00+00:00,31.5,31.5,29.0,29.100000381469727,24936
2024-01-26 00:00:00+00:00,29.100000381469727,30.5,29.100000381469727,29.700000762939453,14738
2024-01-29 00:00:00+00:00,30.0,30.5,29.0,30.299999237060547,18140
2024-01-30 00:00:00+00:00,29.600000381469727,30.200000762939453,29.149999618530273,29.75,25178
2024-01-31 00:00:00+00:00,29.649999618530273,32.5,29.25,30.75,12944
2024-02-01 00:00:00+00:00,31.950000762939453,32.0,30.299999237060547,31.0,10232
2024-02-02 00:00:00+00:00,30.700000762939453,32.0,30.25,31.149999618530273,8962
2024-02-05 00:00:00+00:00,30.649999618530273,31.649999618530273,30.200000762939453,30.649999618530273,6662
2024-02-06 00:00:00+00:00,30.350000381469727,31.0,28.299999237060547,30.0,36438
2024-02-07 00:00:00+00:00,29.399999618530273,29.600000381469727,27.0,28.25,30054
2024-02-08 00:00:00+00:00,28.0,28.450000762939453,26.5,26.549999237060547,23656
2024-02-09 00:00:00+00:00,26.899999618530273,29.899999618530273,26.25,27.549999237060547,36364
2024-02-12 00:00:00+00:00,27.799999237060547,28.450000762939453,27.299999237060547,27.5,12582
2024-02-13 00:00:00+00:00,26.75,27.5,26.149999618530273,26.850000381469727,20200
2024-02-14 00:00:00+00:00,26.0,26.75,24.549999237060547,26.350000381469727,42204
2024-02-15 00:00:00+00:00,26.549999237060547,28.950000762939453,26.0,28.5,32002
2024-02-16 00:00:00+00:00,29.5,29.700000762939453,28.5,28.649999618530273,17566
2024-02-20 00:00:00+00:00,28.5,29.5,27.149999618530273,27.600000381469727,18716
2024-02-21 00:00:00+00:00,26.799999237060547,27.100000381469727,24.75,25.350000381469727,36902
2024-02-22 00:00:00+00:00,25.5,26.399999618530273,24.350000381469727,24.75,38416
2024-02-23 00:00:00+00:00,24.0,25.899999618530273,23.5,24.75,28612
2024-02-26 00:00:00+00:00,23.75,25.799999237060547,23.399999618530273,25.0,16688
2024-02-27 00:00:00+00:00,24.700000762939453,25.799999237060547,24.700000762939453,25.0,20770
2024-02-28 00:00:00+00:00,26.799999237060547,27.950000762939453,25.399999618530273,25.5,19546
2024-02-29 00:00:00+00:00,25.5,27.0,25.5,26.75,22044
2024-03-01 00:00:00+00:00,27.0,27.0,23.75,25.700000762939453,21586
2024-03-04 00:00:00+00:00,25.700000762939453,26.0,24.0,24.600000381469727,25404
2024-03-05 00:00:00+00:00,24.549999237060547,24.549999237060547,23.850000381469727,24.350000381469727,14890
2024-03-06 00:00:00+00:00,24.5,25.450000762939453,23.799999237060547,24.299999237060547,14942
2024-03-07 00:00:00+00:00,25.299999237060547,25.299999237060547,24.200000762939453,24.950000762939453,14866
2024-03-08 00:00:00+00:00,24.700000762939453,25.0,23.0,24.0,31448
2024-03-11 00:00:00+00:00,24.5,24.5,22.25,23.75,23902
2024-03-12 00:00:00+00:00,24.049999237060547,24.049999237060547,22.75,23.399999618530273,16736
2024-03-13 00:00:00+00:00,22.75,23.450000762939453,22.600000381469727,23.0,14128
2024-03-14 00:00:00+00:00,22.600000381469727,23.0,22.25,22.5,14652
2024-03-15 00:00:00+00:00,22.25,27.049999237060547,22.049999237060547,26.75,56868
2024-03-18 00:00:00+00:00,26.0,26.0,23.850000381469727,23.899999618530273,11642
