"('date', '')","('open', 'BKNG')","('high', 'BKNG')","('low', 'BKNG')","('close', 'BKNG')","('volume', 'BKNG')"
2024-01-02 00:00:00+00:00,3469.957362229695,3481.776894867999,3415.4632302288524,3431.078125,333400
2024-01-03 00:00:00+00:00,3413.2944753844336,3431.196213808111,3356.621802028031,3360.801513671875,327400
2024-01-04 00:00:00+00:00,3351.6628767095317,3399.6408679921174,3335.98902011281,3371.3193359375,176600
2024-01-05 00:00:00+00:00,3371.1421728689297,3400.459357412147,3346.0046997238337,3359.687255859375,321800
2024-01-08 00:00:00+00:00,3363.1276993006923,3415.739068527015,3358.386264628281,3413.60986328125,264700
2024-01-09 00:00:00+00:00,3392.080445016144,3440.8767199444496,3392.080445016144,3439.624755859375,224300
2024-01-10 00:00:00+00:00,3444.060718853131,3487.4549195951085,3444.060718853131,3471.0908203125,148500
2024-01-11 00:00:00+00:00,3452.755336189961,3502.4387181073894,3436.40110464618,3501.7783203125,167500
2024-01-12 00:00:00+00:00,3521.4050296416644,3525.880524128714,3449.176671258875,3452.607177734375,167200
2024-01-16 00:00:00+00:00,3448.0726470571694,3460.099154388619,3417.365354889173,3453.888671875,173200
2024-01-17 00:00:00+00:00,3447.0275116479834,3460.9271509330765,3412.3378588572727,3440.28466796875,182400
2024-01-18 00:00:00+00:00,3448.269564022597,3490.204819011605,3432.053478843742,3478.6416015625,223000
2024-01-19 00:00:00+00:00,3511.251374374467,3571.0886098431765,3501.0190598194386,3565.094970703125,235100
2024-01-22 00:00:00+00:00,3601.1352551149967,3617.4892450705756,3431.127115712758,3456.17578125,456400
2024-01-23 00:00:00+00:00,3473.160865247825,3480.800685500623,3436.489776168343,3440.994873046875,238200
2024-01-24 00:00:00+00:00,3450.2416376032206,3472.471099716587,3427.0757294650275,3447.037841796875,260900
2024-01-25 00:00:00+00:00,3469.9468245419857,3489.9385357273986,3441.822402359697,3453.44482421875,278100
2024-01-26 00:00:00+00:00,3446.2394439457294,3486.4199835843497,3430.5261148470877,3469.563232421875,209600
2024-01-29 00:00:00+00:00,3472.421220082145,3513.469125430682,3447.066905802678,3503.35498046875,219500
2024-01-30 00:00:00+00:00,3475.8719347909,3524.6484734878172,3474.590368359948,3504.607421875,185500
2024-01-31 00:00:00+00:00,3479.814704901933,3503.1875861265685,3451.3059316993154,3457.60498046875,186400
2024-02-01 00:00:00+00:00,3541.1798734869294,3548.3860067922947,3461.774984707322,3507.8603515625,196500
2024-02-02 00:00:00+00:00,3488.6378688896716,3532.485492171083,3461.5781646048836,3510.7587890625,197600
2024-02-05 00:00:00+00:00,3490.6585607489224,3577.1018379760612,3485.1479456258644,3573.46435546875,230800
2024-02-06 00:00:00+00:00,3583.3222215702767,3608.163912083802,3554.172542603151,3593.120849609375,277000
2024-02-07 00:00:00+00:00,3598.2078044587242,3692.211967388676,3594.4815146164724,3656.19140625,284800
2024-02-08 00:00:00+00:00,3696.687176059365,3790.100006167057,3672.97904083629,3785.62451171875,376500
2024-02-09 00:00:00+00:00,3647.3981721511764,3708.3983266007012,3610.9340578893525,3704.7509765625,398900
2024-02-12 00:00:00+00:00,3703.6961988704184,3772.592484068375,3696.3519211487624,3736.34521484375,247300
2024-02-13 00:00:00+00:00,3691.7585426024434,3733.940249477551,3649.4882692569595,3694.33154296875,264100
2024-02-14 00:00:00+00:00,3688.0222494806944,3716.6099647791266,3642.4692423347315,3685.16357421875,253700
2024-02-15 00:00:00+00:00,3699.2897222976535,3709.2363623961855,3659.0600888937397,3697.337890625,297500
2024-02-16 00:00:00+00:00,3700.8277541176903,3702.779585870571,3656.2407930569984,3663.9990234375,209600
2024-02-20 00:00:00+00:00,3656.270019248983,3677.1389733232363,3636.1206676828256,3648.245849609375,254900
2024-02-21 00:00:00+00:00,3663.7230795281175,3699.428124115795,3656.8324634359224,3687.943603515625,224800
2024-02-22 00:00:00+00:00,3749.9986444870606,3862.29900195532,3721.20395255851,3846.5166015625,474000
2024-02-23 00:00:00+00:00,3645.7225988866744,3645.7225988866744,3441.695048520016,3456.116943359375,958500
2024-02-26 00:00:00+00:00,3508.7580141158214,3535.2162858313072,3447.86615588253,3449.995361328125,433200
2024-02-27 00:00:00+00:00,3466.319612576067,3483.482012589815,3414.1323042536314,3428.672607421875,392900
2024-02-28 00:00:00+00:00,3428.672516130493,3457.4968084236507,3410.8100083111585,3445.933349609375,339600
2024-02-29 00:00:00+00:00,3455.8507316333366,3465.028432268737,3402.421322860044,3419.514892578125,480900
2024-03-01 00:00:00+00:00,3433.039652225197,3461.7948738430123,3405.053129785883,3449.975341796875,348400
2024-03-04 00:00:00+00:00,3412.574775805238,3452.4397943132303,3403.4168105291237,3412.190185546875,270800
2024-03-05 00:00:00+00:00,3402.9239410051196,3423.931040823455,3367.130091732822,3381.483154296875,287500
2024-03-06 00:00:00+00:00,3384.1939917433047,3398.448379429157,3350.64775792876,3379.294677734375,236500
2024-03-07 00:00:00+00:00,3393.3486314931547,3443.3570113199366,3369.055992941396,3437.091064453125,270700
