"('date', '')","('open', 'AOD')","('high', 'AOD')","('low', 'AOD')","('close', 'AOD')","('volume', 'AOD')"
2024-01-02 00:00:00+00:00,6.525543537308298,6.541816308780939,6.460450511504106,6.476723670959473,489400
2024-01-03 00:00:00+00:00,6.444177627563477,6.46858717379877,6.411631307261256,6.444177627563477,427300
2024-01-04 00:00:00+00:00,6.436040578329694,6.484860056695793,6.436040578329694,6.476723670959473,499700
2024-01-05 00:00:00+00:00,6.460450511504106,6.517406763589252,6.460450511504106,6.476723670959473,228300
2024-01-08 00:00:00+00:00,6.492997254851786,6.549953510660071,6.468587320081735,6.533679962158203,240800
2024-01-09 00:00:00+00:00,6.501133641119969,6.541816736409137,6.484860480600852,6.533679962158203,260400
2024-01-10 00:00:00+00:00,6.558090712311738,6.582500260689845,6.533680387968078,6.549953937530518,320300
2024-01-11 00:00:00+00:00,6.541817162749298,6.582500260689845,6.533680387968078,6.549953937530518,425500
2024-01-12 00:00:00+00:00,6.574363485908625,6.598773034286733,6.533680387968078,6.549953937530518,256400
2024-01-16 00:00:00+00:00,6.517406763589252,6.558089856219031,6.468586897240427,6.476723670959473,261000
2024-01-17 00:00:00+00:00,6.436040791627651,6.460450725611037,6.379084925637646,6.395358085632324,229300
2024-01-18 00:00:00+00:00,6.403494557868271,6.452314038509712,6.403494557868271,6.436040878295898,218500
2024-01-19 00:00:00+00:00,6.460451012162196,6.509270494311602,6.419767916379646,6.468587398529053,443800
2024-01-22 00:00:00+00:00,6.501133868227004,6.533680190402194,6.492997481674589,6.517407417297363,220500
2024-01-23 00:00:00+00:00,6.507571942126827,6.564943623457406,6.466592113917469,6.499375820159912,277600
2024-01-24 00:00:00+00:00,6.548550703051462,6.556746824171708,6.523963121315854,6.532158851623535,273600
2024-01-25 00:00:00+00:00,6.532160136980199,6.556748114366636,6.5239644050598145,6.5239644050598145,213200
2024-01-26 00:00:00+00:00,6.523963974497156,6.573139926024561,6.499375998733453,6.548551559448242,1045500
2024-01-29 00:00:00+00:00,6.5321580273818185,6.589529695546564,6.5321580273818185,6.573138236999512,585900
2024-01-30 00:00:00+00:00,6.5731387749429935,6.589530234831517,6.556746533429374,6.581334114074707,282700
2024-01-31 00:00:00+00:00,6.589532027725042,6.589532027725042,6.491180896759033,6.491180896759033,415100
2024-02-01 00:00:00+00:00,6.507572107645971,6.614118960237615,6.507572107645971,6.564943790435791,414800
