"('date', '')","('open', 'AURA')","('high', 'AURA')","('low', 'AURA')","('close', 'AURA')","('volume', 'AURA')"
2024-01-02 00:00:00+00:00,8.779999732971191,9.210000038146973,8.699999809265137,9.029999732971191,98900
2024-01-03 00:00:00+00:00,9.0,9.300000190734863,8.9399995803833,9.0,103800
2024-01-04 00:00:00+00:00,9.050000190734863,9.201000213623047,8.789999961853027,8.970000267028809,263300
2024-01-05 00:00:00+00:00,8.970000267028809,9.180000305175781,8.710000038146973,8.850000381469727,96900
2024-01-08 00:00:00+00:00,8.880000114440918,9.010000228881836,8.670000076293945,9.010000228881836,72000
2024-01-09 00:00:00+00:00,9.380000114440918,9.380000114440918,8.6899995803833,8.949999809265137,133400
2024-01-10 00:00:00+00:00,8.930000305175781,9.149999618530273,8.5600004196167,8.819999694824219,77500
2024-01-11 00:00:00+00:00,8.729999542236328,8.729999542236328,8.399999618530273,8.520000457763672,79200
2024-01-12 00:00:00+00:00,8.630000114440918,8.847999572753906,8.229999542236328,8.369999885559082,136100
2024-01-16 00:00:00+00:00,8.270000457763672,8.369999885559082,7.869999885559082,8.069999694824219,84500
2024-01-17 00:00:00+00:00,7.880000114440918,8.020000457763672,7.590000152587891,7.849999904632568,186000
2024-01-18 00:00:00+00:00,7.829999923706055,7.880000114440918,7.590000152587891,7.739999771118164,88600
2024-01-19 00:00:00+00:00,7.78000020980835,7.78000020980835,7.5,7.710000038146973,69500
2024-01-22 00:00:00+00:00,7.789999961853027,8.029999732971191,7.679999828338623,8.020000457763672,104400
2024-01-23 00:00:00+00:00,7.639999866485596,8.0,7.599999904632568,7.639999866485596,137200
2024-01-24 00:00:00+00:00,7.78000020980835,7.78000020980835,7.349999904632568,7.480000019073486,201100
2024-01-25 00:00:00+00:00,7.550000190734863,7.610000133514404,7.349999904632568,7.570000171661377,113600
2024-01-26 00:00:00+00:00,7.630000114440918,7.690000057220459,7.510000228881836,7.590000152587891,86400
2024-01-29 00:00:00+00:00,7.650000095367432,8.069999694824219,7.570000171661377,7.96999979019165,126300
2024-01-30 00:00:00+00:00,7.989999771118164,8.130000114440918,7.880000114440918,8.109999656677246,63500
2024-01-31 00:00:00+00:00,8.100000381469727,8.170000076293945,7.679999828338623,7.699999809265137,82500
2024-02-01 00:00:00+00:00,7.829999923706055,7.940000057220459,7.570000171661377,7.769999980926514,116000
2024-02-02 00:00:00+00:00,7.730000019073486,8.0600004196167,7.210000038146973,7.769999980926514,217700
2024-02-05 00:00:00+00:00,7.699999809265137,7.869999885559082,7.429999828338623,7.769999980926514,128100
2024-02-06 00:00:00+00:00,7.760000228881836,8.244999885559082,7.699999809265137,8.1899995803833,90200
2024-02-07 00:00:00+00:00,8.199999809265137,8.229999542236328,7.949999809265137,8.0,79800
