"('date', '')","('open', 'ALB')","('high', 'ALB')","('low', 'ALB')","('close', 'ALB')","('volume', 'ALB')"
2024-01-02 00:00:00+00:00,138.3681857830551,144.76408642976304,136.6845396058407,142.13218688964844,1962300
2024-01-03 00:00:00+00:00,137.97143834357345,138.27139493338095,132.27221884358235,135.63949584960938,2731000
2024-01-04 00:00:00+00:00,136.51037458328352,136.51037458328352,130.656333102518,131.5271759033203,3208000
2024-01-05 00:00:00+00:00,131.03371163645232,133.74302191134612,129.61132411124694,131.43043518066406,2284900
2024-01-08 00:00:00+00:00,129.8531972423328,132.55283612556812,128.4501663630289,132.15611267089844,1879300
2024-01-09 00:00:00+00:00,129.65003527232795,130.74342424617555,126.85364369501704,129.34039306640625,1832400
2024-01-10 00:00:00+00:00,127.521273212553,129.746778429145,125.90536681893043,128.634033203125,2145700
2024-01-11 00:00:00+00:00,128.44051361381423,128.86624946872016,123.78630605570063,124.48297882080078,2976800
2024-01-12 00:00:00+00:00,124.61842667536938,125.9053491406355,121.58014068006607,121.9671859741211,1637700
2024-01-16 00:00:00+00:00,121.4350086119178,122.93480649190751,119.82877308200491,121.87042999267578,2256600
2024-01-17 00:00:00+00:00,119.03532010349902,120.57382308168366,116.34536681451402,116.79046630859375,2818600
2024-01-18 00:00:00+00:00,117.16783922657501,117.43877610714455,111.39121629780506,114.16825103759766,3418700
2024-01-19 00:00:00+00:00,114.25533918111425,114.26500996152397,108.65287891515788,111.40088653564453,4170300
2024-01-22 00:00:00+00:00,110.09462663327685,118.8127917923172,109.33989227484471,116.8388671875,4026800
2024-01-23 00:00:00+00:00,119.90616986903633,123.11863317806585,116.90658183543299,118.61924743652344,2877400
2024-01-24 00:00:00+00:00,121.28986033802796,121.99621858522848,116.13249946399873,117.7484130859375,2026500
2024-01-25 00:00:00+00:00,118.0483668200103,119.37399458044422,112.20400416698268,114.61334991455078,2810400
2024-01-26 00:00:00+00:00,116.18088169814048,118.17415506585712,115.14553974530146,115.95832824707031,1525000
2024-01-29 00:00:00+00:00,114.80686910212165,119.28689844708884,113.57800089822402,119.20948791503906,1996400
2024-01-30 00:00:00+00:00,117.34202084777463,119.00631065304266,114.95203117589998,116.41311645507812,1948700
2024-01-31 00:00:00+00:00,115.38744270722893,116.20990937585685,110.77194824714088,111.02352142333984,3653300
