"('date', '')","('open', 'BTA')","('high', 'BTA')","('low', 'BTA')","('close', 'BTA')","('volume', 'BTA')"
2006-02-27 00:00:00+00:00,4.704660538329764,4.707797050476074,4.704660538329764,4.707797050476074,52700
2006-02-28 00:00:00+00:00,4.707797050476074,4.707797050476074,4.704660538329764,4.707797050476074,17900
2006-03-01 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,57900
2006-03-02 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,23400
2006-03-03 00:00:00+00:00,4.707795973403821,4.707795973403821,4.704659461975098,4.704659461975098,15900
2006-03-06 00:00:00+00:00,4.707795973403821,4.707795973403821,4.704659461975098,4.704659461975098,7300
2006-03-07 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,29800
2006-03-08 00:00:00+00:00,4.704659461975098,4.704659461975098,4.704659461975098,4.704659461975098,6600
2006-03-09 00:00:00+00:00,4.704659461975098,4.704659461975098,4.704659461975098,4.704659461975098,4200
2006-03-10 00:00:00+00:00,4.704659461975098,4.704659461975098,4.704659461975098,4.704659461975098,19300
2006-03-13 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,19800
2006-03-14 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,23500
2006-03-15 00:00:00+00:00,4.707797050476074,4.707797050476074,4.704660538329764,4.707797050476074,23200
2006-03-16 00:00:00+00:00,4.704659461975098,4.704659461975098,4.704659461975098,4.704659461975098,26300
2006-03-17 00:00:00+00:00,4.707795973403821,4.707795973403821,4.704659461975098,4.704659461975098,48700
2006-03-20 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,541500
2006-03-21 00:00:00+00:00,4.704660538329764,4.707797050476074,4.704660538329764,4.707797050476074,527100
2006-03-22 00:00:00+00:00,4.704660538329764,4.707797050476074,4.704660538329764,4.707797050476074,93500
2006-03-23 00:00:00+00:00,4.707795973403821,4.707795973403821,4.704659461975098,4.704659461975098,36600
2006-03-24 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,51900
2006-03-27 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,185700
2006-03-28 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,139900
2006-03-29 00:00:00+00:00,4.704660538329764,4.707797050476074,4.704660538329764,4.707797050476074,86100
2006-03-30 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,53000
2006-03-31 00:00:00+00:00,4.704660538329764,4.707797050476074,4.704660538329764,4.707797050476074,31900
2006-04-03 00:00:00+00:00,4.704660538329764,4.707797050476074,4.704660538329764,4.707797050476074,51500
2006-04-04 00:00:00+00:00,4.704659461975098,4.707795973403821,4.704659461975098,4.704659461975098,38200
2006-04-05 00:00:00+00:00,4.704660538329764,4.710933562622383,4.704660538329764,4.707797050476074,92600
