"('date', '')","('open', 'AOUT')","('high', 'AOUT')","('low', 'AOUT')","('close', 'AOUT')","('volume', 'AOUT')"
2024-01-02 00:00:00+00:00,8.479999542236328,9.020000457763672,8.350000381469727,8.890000343322754,49100
2024-01-03 00:00:00+00:00,8.920000076293945,8.949999809265137,8.319999694824219,8.420000076293945,50600
2024-01-04 00:00:00+00:00,8.380000114440918,8.4399995803833,8.279999732971191,8.300000190734863,21600
2024-01-05 00:00:00+00:00,8.25,8.645000457763672,8.25,8.420000076293945,41800
2024-01-08 00:00:00+00:00,8.449999809265137,8.600000381469727,8.253000259399414,8.40999984741211,18400
2024-01-09 00:00:00+00:00,8.329999923706055,8.569999694824219,8.270000457763672,8.34000015258789,19400
2024-01-10 00:00:00+00:00,8.295000076293945,8.449999809265137,8.282999992370605,8.390000343322754,21600
2024-01-11 00:00:00+00:00,8.439000129699707,8.829999923706055,8.380000114440918,8.699999809265137,42100
2024-01-12 00:00:00+00:00,8.699999809265137,8.925000190734863,8.600000381469727,8.770000457763672,51200
2024-01-16 00:00:00+00:00,8.75,9.0600004196167,8.602999687194824,8.850000381469727,57800
2024-01-17 00:00:00+00:00,8.930000305175781,9.350000381469727,8.850000381469727,9.029999732971191,96800
2024-01-18 00:00:00+00:00,8.989999771118164,9.149999618530273,8.90999984741211,9.149999618530273,95100
2024-01-19 00:00:00+00:00,9.199999809265137,9.199999809265137,8.949999809265137,9.140000343322754,42100
2024-01-22 00:00:00+00:00,9.09000015258789,9.300000190734863,9.069999694824219,9.220000267028809,69100
2024-01-23 00:00:00+00:00,9.180000305175781,9.350000381469727,8.9399995803833,9.0,54000
2024-01-24 00:00:00+00:00,9.0,9.15999984741211,8.916999816894531,9.149999618530273,24200
2024-01-25 00:00:00+00:00,9.289999961853027,9.289999961853027,9.053999900817871,9.149999618530273,41300
2024-01-26 00:00:00+00:00,9.180000305175781,9.5,8.9399995803833,9.5,50900
2024-01-29 00:00:00+00:00,9.40999984741211,9.536999702453613,9.199999809265137,9.199999809265137,23300
2024-01-30 00:00:00+00:00,9.229999542236328,9.229999542236328,8.9399995803833,8.970000267028809,19900
2024-01-31 00:00:00+00:00,8.609999656677246,8.881999969482422,8.550000190734863,8.5600004196167,50600
2024-02-01 00:00:00+00:00,8.539999961853027,8.8100004196167,8.539999961853027,8.800000190734863,21400
2024-02-02 00:00:00+00:00,8.890000343322754,9.1899995803833,8.779999732971191,9.149999618530273,37500
2024-02-05 00:00:00+00:00,9.119999885559082,9.119999885559082,8.649999618530273,8.699999809265137,35100
2024-02-06 00:00:00+00:00,8.770000457763672,8.937999725341797,8.656000137329102,8.710000038146973,13300
2024-02-07 00:00:00+00:00,8.65999984741211,8.739999771118164,8.569999694824219,8.65999984741211,14100
2024-02-08 00:00:00+00:00,8.619999885559082,8.989999771118164,8.574000358581543,8.9399995803833,16300
2024-02-09 00:00:00+00:00,8.65999984741211,9.109999656677246,8.65999984741211,8.989999771118164,43500
2024-02-12 00:00:00+00:00,9.069999694824219,9.329999923706055,8.949999809265137,8.949999809265137,30000
2024-02-13 00:00:00+00:00,8.710000038146973,8.850000381469727,8.609999656677246,8.720000267028809,14200
2024-02-14 00:00:00+00:00,8.75,8.885000228881836,8.649999618530273,8.710000038146973,18000
2024-02-15 00:00:00+00:00,8.680000305175781,8.765000343322754,8.399999618530273,8.5,18700
2024-02-16 00:00:00+00:00,8.5,8.54699993133545,8.3100004196167,8.430000305175781,20100
2024-02-20 00:00:00+00:00,8.300000190734863,8.4399995803833,8.300000190734863,8.329999923706055,17400
2024-02-21 00:00:00+00:00,8.270000457763672,8.420000076293945,8.180000305175781,8.279999732971191,26100
2024-02-22 00:00:00+00:00,8.1899995803833,8.579999923706055,8.119999885559082,8.569999694824219,24300
2024-02-23 00:00:00+00:00,8.59000015258789,8.59000015258789,8.350000381469727,8.380000114440918,16700
2024-02-26 00:00:00+00:00,8.430000305175781,8.640000343322754,8.109999656677246,8.260000228881836,25000
2024-02-27 00:00:00+00:00,8.199999809265137,8.343000411987305,8.050000190734863,8.079999923706055,16200
2024-02-28 00:00:00+00:00,8.0,8.300999641418457,8.0,8.0,16200
2024-02-29 00:00:00+00:00,7.989999771118164,8.09000015258789,7.710000038146973,7.849999904632568,45900
