"('date', '')","('open', 'BAP')","('high', 'BAP')","('low', 'BAP')","('close', 'BAP')","('volume', 'BAP')"
2024-01-02 00:00:00+00:00,137.04731335307457,138.18666863102,136.02838267992632,137.66793823242188,155800
2024-01-03 00:00:00+00:00,136.42669586854225,137.48268684702504,134.88902057910508,135.0094451904297,160900
2024-01-04 00:00:00+00:00,134.38882582139348,136.1302901552158,133.8330351216454,135.08355712890625,152400
2024-01-05 00:00:00+00:00,134.78713165321537,136.99175019204623,133.59220002340504,135.08355712890625,125100
2024-01-08 00:00:00+00:00,135.1946963837122,137.2881622314453,133.62923306249903,137.2881622314453,172800
2024-01-09 00:00:00+00:00,136.54713101763323,138.2330050345617,135.49113995765634,136.66754150390625,168100
2024-01-10 00:00:00+00:00,135.79682490795022,138.37196127738477,134.60187908795604,136.73239135742188,203700
2024-01-11 00:00:00+00:00,136.1858690093947,137.2233299255146,134.31472202766852,136.9454345703125,126600
2024-01-12 00:00:00+00:00,137.62165318639904,138.75173649168164,136.58417811115424,137.2974395751953,106100
2024-01-16 00:00:00+00:00,135.6764000311579,140.4190947801692,134.76862170624298,139.4372100830078,326100
2024-01-17 00:00:00+00:00,137.12144479059225,139.34457951523135,136.37113717438518,136.80650329589844,234500
2024-01-18 00:00:00+00:00,137.8161561545499,139.15930044465708,137.1955312517926,137.83468627929688,190100
2024-01-19 00:00:00+00:00,137.714263510316,138.29784230572184,135.28734010675151,137.96437072753906,146400
2024-01-22 00:00:00+00:00,138.44606368189497,140.03004317641265,137.3159662705064,139.49278259277344,199300
2024-01-23 00:00:00+00:00,139.2056307873243,140.12268122835616,136.87132956837192,139.24269104003906,196700
2024-01-24 00:00:00+00:00,140.1967811098571,140.1967811098571,136.27848642583226,137.75132751464844,340900
2024-01-25 00:00:00+00:00,138.52015735413138,139.35384342746224,136.65828248541243,137.95510864257812,241800
2024-01-26 00:00:00+00:00,137.40858311804743,141.01192218813966,136.85280656490605,139.57614135742188,110300
2024-01-29 00:00:00+00:00,139.18708575089,140.5950783819766,137.99215421422693,139.46498107910156,110500
2024-01-30 00:00:00+00:00,139.08520327477206,140.60434851454482,138.15889485699975,138.7980499267578,146500
2024-01-31 00:00:00+00:00,137.84394505985387,139.48351481787867,136.94542481814804,137.491943359375,150800
2024-02-01 00:00:00+00:00,137.362266385778,139.34456579595528,136.16733476916022,139.3260498046875,190400
2024-02-02 00:00:00+00:00,138.63130781756632,139.62245037907417,137.7420456032106,138.77024841308594,370200
2024-02-05 00:00:00+00:00,137.56605943483447,140.22457423224773,136.43596202290513,139.17784118652344,178000
2024-02-06 00:00:00+00:00,140.04856176614965,143.46664184080805,139.11298128621436,142.1420135498047,212700
2024-02-07 00:00:00+00:00,141.47507731412867,142.98496452207237,140.06709872942764,142.91085815429688,204600
2024-02-08 00:00:00+00:00,141.72519724567331,143.38328320348774,140.04858116066754,140.8915252685547,229700
2024-02-09 00:00:00+00:00,140.79887614290092,143.2999059843599,138.279316175912,142.91085815429688,425000
2024-02-12 00:00:00+00:00,143.5777981206908,146.86619567871094,142.04012282599436,146.86619567871094,305500
2024-02-13 00:00:00+00:00,145.26369804201082,147.08851268652774,142.54960693124994,146.3567352294922,204800
2024-02-14 00:00:00+00:00,148.20935081683078,150.9049117770547,147.2274661291645,150.506591796875,347300
2024-02-15 00:00:00+00:00,150.12680586402837,156.84254161602865,150.12680586402837,156.5553741455078,370100
2024-02-16 00:00:00+00:00,157.00927647560266,160.61261564763356,155.74023846896716,157.66696166992188,393000
2024-02-20 00:00:00+00:00,157.66696982707978,159.48252650071663,154.5823609468062,154.75836181640625,369000
2024-02-21 00:00:00+00:00,153.74865768359624,156.00885234420295,153.2947756330334,155.888427734375,318700
2024-02-22 00:00:00+00:00,156.55537376243663,157.2408470500171,155.49938277766594,156.64801025390625,247100
2024-02-23 00:00:00+00:00,156.5461129860859,158.39872970781474,155.44380377516222,157.96336364746094,132900
2024-02-26 00:00:00+00:00,157.17600700104077,158.77853075537965,155.96254522399846,157.95411682128906,119300
2024-02-27 00:00:00+00:00,158.49138665268887,160.05683611173927,157.0278175575122,158.28759765625,208800
2024-02-28 00:00:00+00:00,157.47241335239246,158.03746198920712,155.46232600748604,155.9347381591797,182300
2024-02-29 00:00:00+00:00,157.52801791782403,158.55622089645814,156.18487344809188,158.28759765625,349700
2024-03-01 00:00:00+00:00,159.39915469532414,160.39029735539714,157.94484369065762,159.24168395996094,218100
2024-03-04 00:00:00+00:00,159.04714605359086,161.51112973716732,157.77810809570605,158.31536865234375,110500
2024-03-05 00:00:00+00:00,158.00967599665552,161.3629076148776,156.73136598336936,161.15911865234375,190600
2024-03-06 00:00:00+00:00,161.99282148422031,162.13176209388692,160.06609826888945,161.06651306152344,307900
2024-03-07 00:00:00+00:00,161.6408154287321,163.0395360211554,161.07576674065618,162.3170166015625,324800
2024-03-08 00:00:00+00:00,162.41892176002608,163.15997135387255,160.16799898981805,162.87281799316406,157800
2024-03-11 00:00:00+00:00,162.63196990196732,163.3174290607312,160.02903146785985,160.3625030517578,171800
2024-03-12 00:00:00+00:00,160.28839115475125,162.35406895829172,159.04714135420033,159.97344970703125,167500
2024-03-13 00:00:00+00:00,160.38103836003415,161.21471027954837,159.11200035485183,160.5292510986328,257600
2024-03-14 00:00:00+00:00,159.08419053618132,160.32544025037947,158.50986978602745,159.35281372070312,282700
2024-03-15 00:00:00+00:00,159.89008685267356,161.2147010252063,158.78777764093297,159.88082885742188,545700
2024-03-18 00:00:00+00:00,160.1031341327467,160.26060485839844,158.59326111180636,160.26060485839844,198800
2024-03-19 00:00:00+00:00,159.34356828304487,160.60334821990207,157.00926725473866,157.33348083496094,154300
2024-03-20 00:00:00+00:00,156.59243182759394,164.6420537756687,156.59243182759394,164.4104766845703,203400
2024-03-21 00:00:00+00:00,164.8180292838681,166.30012821984752,163.07657928858666,164.5771942138672,180100
2024-03-22 00:00:00+00:00,164.31785474561053,164.31785474561053,160.36251372176747,160.91830444335938,182000
2024-03-25 00:00:00+00:00,160.17723780832657,161.43701772673091,157.8522089436706,157.9263153076172,190100
2024-03-26 00:00:00+00:00,158.63957507618233,159.7974606023162,156.52759300726177,157.00927734375,227000
2024-03-27 00:00:00+00:00,158.17642567709484,158.3987447932391,154.57308637553473,155.6661376953125,377800
2024-03-28 00:00:00+00:00,156.5461216574848,158.46358685517137,155.647601366928,156.94442749023438,350100
