"('date', '')","('open', 'AZZ')","('high', 'AZZ')","('low', 'AZZ')","('close', 'AZZ')","('volume', 'AZZ')"
2024-01-02 00:00:00+00:00,56.48405526161847,57.29153272996081,55.834134280844324,56.54313659667969,113600
2024-01-03 00:00:00+00:00,56.22802227946714,56.39542815651179,55.00696046906929,55.20390701293945,104900
2024-01-04 00:00:00+00:00,55.49932842687983,56.9173368699688,55.49932842687983,56.100013732910156,188600
2024-01-05 00:00:00+00:00,55.63719252181766,56.42497502747509,55.48948165856295,55.6962776184082,210900
2024-01-08 00:00:00+00:00,56.001535870032185,56.385579570030266,55.49932574459846,56.188636779785156,158100
2024-01-09 00:00:00+00:00,55.666731741990134,56.80901728455215,55.4008544489227,56.198486328125,237500
2024-01-10 00:00:00+00:00,60.875950303486086,62.25457249266323,54.92818586832325,55.962154388427734,488800
2024-01-11 00:00:00+00:00,56.38558101478431,56.97642066998739,55.62734298873803,56.6120719909668,164100
2024-01-12 00:00:00+00:00,57.40970146916558,57.66573311955449,56.20833461172951,57.03550338745117,149200
2024-01-16 00:00:00+00:00,56.85825654259832,57.547563866900546,56.05077527216408,56.799171447753906,403800
2024-01-17 00:00:00+00:00,56.12955331823949,56.946880195966166,56.00153749570963,56.63176345825195,149700
2024-01-18 00:00:00+00:00,56.96656715130233,57.39985028503169,56.287105541285044,57.202903747558594,148600
2024-01-19 00:00:00+00:00,57.36046801198021,57.87252757633675,56.55299047953733,57.83313751220703,167500
2024-01-22 00:00:00+00:00,58.473207216783834,59.576102609991224,58.473207216783834,59.5268669128418,248900
2024-01-23 00:00:00+00:00,60.14724585074978,60.26541227251683,59.16251690432449,59.723812103271484,135500
2024-01-24 00:00:00+00:00,60.137405061032155,60.137405061032155,58.80802229575148,59.18221664428711,98700
2024-01-25 00:00:00+00:00,60.304810449554154,61.38801093385453,59.891222283032135,61.30923080444336,169300
2024-01-26 00:00:00+00:00,61.378159517017465,62.02808049769494,60.738084173367746,61.45693588256836,132200
2024-01-29 00:00:00+00:00,61.614927402915974,61.96052243571672,61.23970724822991,61.86178207397461,114400
2024-01-30 00:00:00+00:00,61.713669243759995,62.74058560398499,61.29895519445958,62.701087951660156,95500
2024-01-31 00:00:00+00:00,62.789951850309684,63.71812402154394,61.64454637160866,61.6642951965332,194600
2024-02-01 00:00:00+00:00,61.94077550355063,63.76750238524937,61.76303983361879,63.688507080078125,120700
2024-02-02 00:00:00+00:00,63.01705923368448,64.13283961903468,62.49372854379981,64.0834732055664,233300
2024-02-05 00:00:00+00:00,63.22442318906789,64.15259925165189,62.72084126932631,63.639137268066406,160900
2024-02-06 00:00:00+00:00,63.50089566689651,64.28095736209325,62.73071026828396,63.60951232910156,98600
2024-02-07 00:00:00+00:00,63.93536314135141,65.3177508781161,63.0466847724736,65.06101989746094,161700
2024-02-08 00:00:00+00:00,65.03139295815508,66.48289958048402,64.95239765805678,66.35453033447266,97300
2024-02-09 00:00:00+00:00,66.71987656085201,68.78358541594675,66.50264325679929,68.66509246826172,230800
2024-02-12 00:00:00+00:00,68.55648509904131,69.67226559054927,68.55648509904131,69.47478485107422,184400
2024-02-13 00:00:00+00:00,67.54931704980129,68.84283313930453,66.47302674677259,67.45056915283203,203600
2024-02-14 00:00:00+00:00,68.37873690468923,69.40565313549762,67.8949039081469,69.11930084228516,145300
2024-02-15 00:00:00+00:00,69.40566252768215,71.78533771847745,69.17855290805429,71.49899291992188,200200
2024-02-16 00:00:00+00:00,70.88679470791995,72.25930620146461,70.31409001083311,71.44962310791016,178500
2024-02-20 00:00:00+00:00,70.5214480642622,71.3212624056372,70.11661027836283,71.31138610839844,181400
2024-02-21 00:00:00+00:00,71.10402547441588,71.53848459667371,69.42540909878758,70.23509216308594,158000
2024-02-22 00:00:00+00:00,70.36345345736481,72.03218581399375,70.2252154522809,71.34099578857422,203300
2024-02-23 00:00:00+00:00,71.30150472021104,72.63451848278179,70.74855264884113,72.00257110595703,161400
2024-02-26 00:00:00+00:00,71.72609087051869,73.23684021520094,71.2225052444891,73.11835479736328,165500
2024-02-27 00:00:00+00:00,73.54296019264666,73.76018601433077,72.58516269069008,72.63452911376953,85800
2024-02-28 00:00:00+00:00,72.11119381508225,73.13811027189472,72.11119381508225,72.21981048583984,102300
2024-02-29 00:00:00+00:00,72.84186871856204,73.15784237751647,71.73596467892467,71.88407897949219,177100
2024-03-01 00:00:00+00:00,71.68659190340108,72.29879417347492,70.78804485654135,71.1830062866211,155000
2024-03-04 00:00:00+00:00,71.05464833800923,72.49627872768228,70.99540562704125,71.19288635253906,93800
2024-03-05 00:00:00+00:00,70.79792133680749,71.4693663879083,68.87245778834566,69.61302185058594,143600
