"('date', '')","('open', 'CTS')","('high', 'CTS')","('low', 'CTS')","('close', 'CTS')","('volume', 'CTS')"
1980-03-17 00:00:00+00:00,1.7487618923187256,1.8891730259320427,1.7487618923187256,1.7487618923187256,405600
1980-03-18 00:00:00+00:00,1.7487613155990558,1.7615258005395553,1.7104672764568916,1.7359962463378906,24000
1980-03-19 00:00:00+00:00,1.7359962463378906,1.78705535474122,1.723231761397391,1.7359962463378906,34800
1980-03-20 00:00:00+00:00,1.7359968188477997,1.7487618923187256,1.7104678405476648,1.7487618923187256,56400
1980-03-21 00:00:00+00:00,1.7487613155990558,1.7615258005395553,1.7359962463378906,1.7359962463378906,108600
1980-03-24 00:00:00+00:00,1.7359962463378906,1.7615258005395553,1.7104672764568916,1.7359962463378906,34200
1980-03-25 00:00:00+00:00,1.7104683987952005,1.7104683987952005,1.5700566350346765,1.672174334526062,48000
1980-03-26 00:00:00+00:00,1.6721745655856644,1.6977035557452973,1.6338804960250852,1.6338804960250854,53400
1980-03-27 00:00:00+00:00,1.5828206240116787,1.5828206240116787,1.3402918223585198,1.3530563116073608,402000
1980-03-28 00:00:00+00:00,1.4424087415789018,1.557290838227118,1.4424087415789018,1.5317612886428833,198000
1980-03-31 00:00:00+00:00,1.5317617974630215,1.595585400464232,1.5317617974630215,1.5700558423995972,14400
1980-04-01 00:00:00+00:00,1.570055515094755,1.5828199993057213,1.5317614781412245,1.557291030883789,10200
1980-04-02 00:00:00+00:00,1.5317621353725386,1.5317621353725386,1.480703592300415,1.480703592300415,22800
1980-04-03 00:00:00+00:00,1.4807039113777885,1.5189979730141019,1.4807039113777885,1.4934684038162231,99000
1980-04-07 00:00:00+00:00,1.4934680819882251,1.4934680819882251,1.4679385182917217,1.480703592300415,48000
1980-04-08 00:00:00+00:00,1.4807037314463456,1.5189977884292603,1.467938656238082,1.5189977884292603,49200
1980-04-09 00:00:00+00:00,1.518996806011046,1.5317612886428833,1.4934672564268112,1.5317612886428833,5400
1980-04-10 00:00:00+00:00,1.5445259623521905,1.570055515094755,1.5445259623521905,1.557291030883789,41400
1980-04-11 00:00:00+00:00,1.557291845412175,1.582820827186826,1.5189977884292603,1.5189977884292603,61800
1980-04-14 00:00:00+00:00,1.5317614781412245,1.557291030883789,1.5317614781412245,1.557291030883789,36600
1980-04-15 00:00:00+00:00,1.582820177078247,1.6338792882980182,1.582820177078247,1.582820177078247,42000
1980-04-16 00:00:00+00:00,1.5828199993057213,1.6083495520482858,1.557291030883789,1.557291030883789,54600
1980-04-17 00:00:00+00:00,1.5700558423995972,1.595585400464232,1.5700558423995972,1.5700558423995972,37800
1980-04-18 00:00:00+00:00,1.5700558423995972,1.595585400464232,1.5700558423995972,1.5700558423995972,19800
