"('date', '')","('open', 'ASH')","('high', 'ASH')","('low', 'ASH')","('close', 'ASH')","('volume', 'ASH')"
2024-01-02 00:00:00+00:00,80.25131685666538,81.75008209310593,79.77094263165968,80.41464233398438,778600
2024-01-03 00:00:00+00:00,79.64603795925,79.8862250415578,77.82061466772515,77.98394012451172,427300
2024-01-04 00:00:00+00:00,77.96474871995146,78.00317954273663,76.25461742062616,76.30265045166016,500600
2024-01-05 00:00:00+00:00,75.88951496754947,77.78219051088195,75.88951496754947,76.6292953491211,553900
2024-01-08 00:00:00+00:00,76.48518508150973,78.25295872017197,76.40832344593423,78.01277160644531,379300
2024-01-09 00:00:00+00:00,77.29221172589558,77.90709016226117,76.98477250771279,77.88787841796875,303800
2024-01-10 00:00:00+00:00,77.39789511173034,78.45472430242442,77.128886710437,78.42589569091797,310100
2024-01-11 00:00:00+00:00,78.31060747353496,78.99273798701206,77.39789205668303,78.86783599853516,315600
2024-01-12 00:00:00+00:00,79.97269972839693,79.97269972839693,77.97434850308322,78.0992431640625,298900
2024-01-16 00:00:00+00:00,77.52280778813542,77.91671090718826,76.20657955193454,76.24501037597656,2486400
2024-01-17 00:00:00+00:00,75.18817947917732,76.28343218011429,74.93838281740575,75.36111450195312,609200
2024-01-18 00:00:00+00:00,75.65893865974412,75.67815040312395,74.72701151235295,75.58207702636719,463200
2024-01-19 00:00:00+00:00,75.75501710592312,76.06245633007548,74.56369102857387,75.91834259033203,392300
2024-01-22 00:00:00+00:00,75.91833292066593,76.43713791970495,75.35149490111655,75.78382873535156,551800
2024-01-23 00:00:00+00:00,76.67732997327026,77.14810198225913,75.64932944475126,75.9471664428711,325300
2024-01-24 00:00:00+00:00,76.16813161587642,76.16813161587642,74.96719612160508,75.2746353149414,296600
2024-01-25 00:00:00+00:00,75.91834179995726,76.5043989601978,75.2842516135885,76.49479675292969,376900
2024-01-26 00:00:00+00:00,77.25379281797018,78.10885842330131,76.9079227607655,77.321044921875,456500
2024-01-29 00:00:00+00:00,77.31143499177928,77.87827310325285,76.85027247453726,77.59965515136719,462300
