"('date', '')","('open', 'CAL')","('high', 'CAL')","('low', 'CAL')","('close', 'CAL')","('volume', 'CAL')"
1980-03-17 00:00:00+00:00,0.9887897255976404,1.0173672034433645,0.9887897255976404,1.000220775604248,10125
1980-03-18 00:00:00+00:00,1.0116518612857341,1.0516605377197266,1.0116518612857341,1.0516605377197266,22275
1980-03-19 00:00:00+00:00,1.051660905200548,1.051660905200548,1.0459455251693726,1.0459455251693726,8100
1980-03-20 00:00:00+00:00,1.0459453057036994,1.0459453057036994,1.0402295589447021,1.0402295589447021,17550
1980-03-21 00:00:00+00:00,1.045945159685671,1.0516605377197266,1.045945159685671,1.0516605377197266,169425
1980-03-24 00:00:00+00:00,1.040229927249888,1.040229927249888,1.0345145463943481,1.0345145463943481,27000
1980-03-25 00:00:00+00:00,1.034514986159281,1.034514986159281,1.0230839252471924,1.0230839252471924,20925
1980-03-26 00:00:00+00:00,1.0230835891479655,1.03451464630477,1.0173678398132324,1.0173678398132324,7425
1980-03-27 00:00:00+00:00,1.0173678398132324,1.0173678398132324,1.0059367826564278,1.0173678398132324,9450
1980-03-28 00:00:00+00:00,1.028798871197062,1.045945676032611,1.028798871197062,1.0345145463943481,7425
1980-03-31 00:00:00+00:00,1.0345140356905587,1.0516605377197266,1.0230829852808465,1.0516605377197266,31725
1980-04-01 00:00:00+00:00,1.0516605377197266,1.0516605377197266,1.0516605377197266,1.0516605377197266,2700
1980-04-02 00:00:00+00:00,1.0516605377197266,1.0630915881294387,1.0516605377197266,1.0516605377197266,32400
1980-04-03 00:00:00+00:00,1.0516605377197266,1.0630915881294387,1.0402294137246142,1.0516605377197266,8775
1980-04-07 00:00:00+00:00,1.0459453057036994,1.0459453057036994,1.0402295589447021,1.0402295589447021,7425
1980-04-08 00:00:00+00:00,1.028798860745329,1.028798860745329,1.0116523504257202,1.0116523504257202,10125
1980-04-09 00:00:00+00:00,1.011652790749636,1.028799308532301,1.011652790749636,1.0230839252471924,5400
1980-04-10 00:00:00+00:00,1.0230830823838737,1.0287984609603882,1.0230830823838737,1.0287984609603882,8100
1980-04-11 00:00:00+00:00,1.028798871197062,1.045945676032611,1.028798871197062,1.0345145463943481,20250
1980-04-14 00:00:00+00:00,1.0345141338785315,1.0345141338785315,1.0287984609603882,1.0287984609603882,9450
1980-04-15 00:00:00+00:00,1.0402300435043572,1.0630922317504883,1.0402300435043572,1.0630922317504883,36450
1980-04-16 00:00:00+00:00,1.0630915881294387,1.0630915881294387,1.0516605377197266,1.0516605377197266,172800
1980-04-17 00:00:00+00:00,1.0402300277122851,1.0402300277122851,1.0173678398132324,1.0173678398132324,72900
1980-04-18 00:00:00+00:00,1.0173673162660337,1.0230830626593876,1.0059362649917603,1.0059362649917603,83700
1980-04-21 00:00:00+00:00,1.0116523504257202,1.0173677312231968,1.0116523504257202,1.0116523504257202,2700
1980-04-22 00:00:00+00:00,1.023083128107226,1.0402295589447021,1.023083128107226,1.0402295589447021,6750
1980-04-23 00:00:00+00:00,1.0345145463943481,1.0345145463943481,1.028798871197062,1.0345145463943481,100575
1980-04-24 00:00:00+00:00,1.0345140356905587,1.0516605377197266,1.0287983633149023,1.0516605377197266,12825
1980-04-25 00:00:00+00:00,1.0516605377197266,1.0516605377197266,1.0516605377197266,1.0516605377197266,8775
1980-04-28 00:00:00+00:00,1.0459452589585967,1.0459452589585967,1.017367335880323,1.0287984609603882,10125
