"('date', '')","('open', 'ATOM')","('high', 'ATOM')","('low', 'ATOM')","('close', 'ATOM')","('volume', 'ATOM')"
2024-01-02 00:00:00+00:00,6.960000038146973,6.960000038146973,6.429999828338623,6.489999771118164,244600
2024-01-03 00:00:00+00:00,6.389999866485596,6.559999942779541,6.138999938964844,6.28000020980835,170800
2024-01-04 00:00:00+00:00,6.25,6.380000114440918,6.099999904632568,6.150000095367432,164100
2024-01-05 00:00:00+00:00,6.099999904632568,6.239999771118164,6.019999980926514,6.110000133514404,154900
2024-01-08 00:00:00+00:00,6.170000076293945,6.670000076293945,6.110000133514404,6.610000133514404,163200
2024-01-09 00:00:00+00:00,6.559999942779541,6.659999847412109,6.400000095367432,6.614999771118164,89000
2024-01-10 00:00:00+00:00,7.010000228881836,7.380000114440918,6.789999961853027,6.920000076293945,451900
2024-01-11 00:00:00+00:00,6.900000095367432,7.03000020980835,6.710000038146973,6.730000019073486,115000
2024-01-12 00:00:00+00:00,6.739999771118164,6.808000087738037,6.520999908447266,6.659999847412109,93500
2024-01-16 00:00:00+00:00,6.610000133514404,6.71999979019165,6.4070000648498535,6.619999885559082,175200
2024-01-17 00:00:00+00:00,6.460000038146973,6.695000171661377,6.449999809265137,6.679999828338623,95400
2024-01-18 00:00:00+00:00,6.809999942779541,6.888999938964844,6.550000190734863,6.699999809265137,105400
2024-01-19 00:00:00+00:00,6.800000190734863,7.019999980926514,6.619999885559082,7.0,125400
2024-01-22 00:00:00+00:00,7.150000095367432,7.320000171661377,7.0,7.289999961853027,165500
2024-01-23 00:00:00+00:00,7.349999904632568,7.86299991607666,7.349999904632568,7.809999942779541,153000
2024-01-24 00:00:00+00:00,7.869999885559082,7.929999828338623,7.349999904632568,7.400000095367432,206200
2024-01-25 00:00:00+00:00,7.489999771118164,8.0,7.119999885559082,7.920000076293945,865900
2024-01-26 00:00:00+00:00,7.980000019073486,8.020000457763672,7.683000087738037,7.840000152587891,253300
2024-01-29 00:00:00+00:00,7.849999904632568,8.430000305175781,7.795000076293945,8.420000076293945,400200
2024-01-30 00:00:00+00:00,8.4399995803833,8.505999565124512,7.800000190734863,8.039999961853027,326100
2024-01-31 00:00:00+00:00,7.909999847412109,8.4399995803833,7.840000152587891,7.860000133514404,210300
2024-02-01 00:00:00+00:00,7.940000057220459,8.182000160217285,7.659999847412109,8.029999732971191,267100
2024-02-02 00:00:00+00:00,7.96999979019165,8.21500015258789,7.769999980926514,8.010000228881836,233800
2024-02-05 00:00:00+00:00,7.929999828338623,8.0,7.53000020980835,7.599999904632568,159800
2024-02-06 00:00:00+00:00,7.599999904632568,7.684000015258789,7.5,7.659999847412109,143700
2024-02-07 00:00:00+00:00,7.71999979019165,7.71999979019165,7.190000057220459,7.284999847412109,319800
2024-02-08 00:00:00+00:00,7.190000057220459,7.71999979019165,7.190000057220459,7.635000228881836,295900
2024-02-09 00:00:00+00:00,7.75,8.40999984741211,7.75,8.399999618530273,364300
2024-02-12 00:00:00+00:00,8.550000190734863,9.1899995803833,8.414999961853027,9.114999771118164,466100
2024-02-13 00:00:00+00:00,8.579999923706055,9.130000114440918,8.140000343322754,8.260000228881836,367500
2024-02-14 00:00:00+00:00,8.510000228881836,8.739999771118164,6.849999904632568,7.150000095367432,860700
2024-02-15 00:00:00+00:00,7.210000038146973,7.420000076293945,6.880000114440918,7.090000152587891,291300
2024-02-16 00:00:00+00:00,7.039999961853027,7.190000057220459,6.610000133514404,7.090000152587891,318700
2024-02-20 00:00:00+00:00,6.980000019073486,7.0,6.570000171661377,6.684999942779541,288800
2024-02-21 00:00:00+00:00,6.599999904632568,6.710000038146973,6.389999866485596,6.460000038146973,208800
2024-02-22 00:00:00+00:00,6.599999904632568,6.642000198364258,6.21999979019165,6.309999942779541,429300
2024-02-23 00:00:00+00:00,6.309999942779541,6.449999809265137,6.019999980926514,6.119999885559082,308000
2024-02-26 00:00:00+00:00,6.119999885559082,6.429999828338623,5.949999809265137,6.380000114440918,317400
2024-02-27 00:00:00+00:00,6.489999771118164,6.489999771118164,6.21999979019165,6.269999980926514,209800
2024-02-28 00:00:00+00:00,6.170000076293945,6.309999942779541,6.050000190734863,6.070000171661377,247700
2024-02-29 00:00:00+00:00,6.260000228881836,6.449999809265137,6.130000114440918,6.300000190734863,229600
2024-03-01 00:00:00+00:00,6.199999809265137,6.949999809265137,6.159999847412109,6.829999923706055,349400
2024-03-04 00:00:00+00:00,6.829999923706055,7.11299991607666,6.739999771118164,6.769999980926514,294100
2024-03-05 00:00:00+00:00,6.619999885559082,6.800000190734863,6.429999828338623,6.559999942779541,138000
2024-03-06 00:00:00+00:00,6.579999923706055,6.730000019073486,6.460000038146973,6.579999923706055,120600
2024-03-07 00:00:00+00:00,6.690000057220459,6.940000057220459,6.619999885559082,6.840000152587891,111300
2024-03-08 00:00:00+00:00,6.96999979019165,7.079999923706055,6.659999847412109,6.690000057220459,135200
2024-03-11 00:00:00+00:00,6.829999923706055,6.829999923706055,6.460000038146973,6.539999961853027,120900
2024-03-12 00:00:00+00:00,6.449999809265137,6.449999809265137,6.195000171661377,6.360000133514404,138300
2024-03-13 00:00:00+00:00,6.28000020980835,6.409999847412109,6.199999809265137,6.230000019073486,113000
2024-03-14 00:00:00+00:00,6.159999847412109,6.21999979019165,5.909999847412109,6.099999904632568,304500
2024-03-15 00:00:00+00:00,5.989999771118164,6.170000076293945,5.96999979019165,6.099999904632568,186900
2024-03-18 00:00:00+00:00,6.170000076293945,6.190000057220459,5.889999866485596,5.889999866485596,181300
2024-03-19 00:00:00+00:00,5.860000133514404,6.010000228881836,5.760000228881836,5.909999847412109,162000
2024-03-20 00:00:00+00:00,5.929999828338623,6.340000152587891,5.800000190734863,6.25,144200
2024-03-21 00:00:00+00:00,6.389999866485596,6.699999809265137,6.320000171661377,6.480000019073486,167000
2024-03-22 00:00:00+00:00,6.28000020980835,6.46999979019165,5.993000030517578,6.059999942779541,148300
2024-03-25 00:00:00+00:00,6.070000171661377,6.159999847412109,5.949999809265137,6.0,122600
2024-03-26 00:00:00+00:00,6.0,6.070000171661377,5.710000038146973,5.829999923706055,232600
2024-03-27 00:00:00+00:00,5.940000057220459,6.130000114440918,5.800000190734863,6.03000020980835,154300
2024-03-28 00:00:00+00:00,6.179999828338623,6.25,6.010000228881836,6.159999847412109,106100
