"('date', '')","('open', 'ATLO')","('high', 'ATLO')","('low', 'ATLO')","('close', 'ATLO')","('volume', 'ATLO')"
2024-01-02 00:00:00+00:00,19.41492486732435,20.07773816614679,19.405718907580763,19.617450714111328,14000
2024-01-03 00:00:00+00:00,19.663479402040597,19.663479402040597,18.890196385835143,19.074310302734375,17800
2024-01-04 00:00:00+00:00,19.193990546879782,19.414928352818116,18.89020084423237,18.92702293395996,11800
2024-01-05 00:00:00+00:00,18.90861090955401,19.396514524625776,18.87178706758618,19.037490844726562,32500
2024-01-08 00:00:00+00:00,18.75211229332281,19.129547878112234,18.75211229332281,19.028284072875977,6500
2024-01-09 00:00:00+00:00,18.816555102523086,19.212402667348744,18.503559435258968,18.595617294311523,6800
2024-01-10 00:00:00+00:00,18.706083066021197,18.706083066021197,18.3102355489033,18.503557205200195,15300
2024-01-11 00:00:00+00:00,18.30102925671963,18.503556869726165,18.080091479141267,18.4114990234375,9500
2024-01-12 00:00:00+00:00,18.47593662839135,18.55878850387933,18.18135296259281,18.27341079711914,6300
2024-01-16 00:00:00+00:00,18.15373774086383,18.236589628470735,17.675040091849652,17.840742111206055,7700
2024-01-17 00:00:00+00:00,17.610598560631015,18.00644608219965,17.610598560631015,17.776302337646484,6200
2024-01-18 00:00:00+00:00,17.803916831755753,17.868356787033203,17.757888793945312,17.757888793945312,6400
2024-01-19 00:00:00+00:00,18.01565184340378,18.181355618586313,17.803920022162732,18.172149658203125,7300
2024-01-22 00:00:00+00:00,18.383880219523434,18.90860939025879,18.034062528223814,18.90860939025879,9200
2024-01-23 00:00:00+00:00,19.092722751458275,19.691096070749932,18.788933112072836,19.1019287109375,9800
2024-01-24 00:00:00+00:00,19.203193474374704,19.6082451766723,19.184781554490996,19.26763343811035,14500
2024-01-25 00:00:00+00:00,19.516191352670873,19.516191352670873,19.157165896724177,19.35969352722168,13600
2024-01-26 00:00:00+00:00,19.59904112194611,19.69109721035153,19.203193620716412,19.424131393432617,10200
2024-01-29 00:00:00+00:00,19.746331609897414,20.16058924675136,19.470158096137567,19.939651489257812,10200
2024-01-30 00:00:00+00:00,20.08694360879339,20.630082928681812,20.01329768859787,20.47358512878418,21000
2024-01-31 00:00:00+00:00,20.296530732317553,20.678604848061166,19.70012092590332,19.70012092590332,17700
2024-02-01 00:00:00+00:00,19.290089049875643,19.299406368987537,18.563215516069096,18.66572380065918,20700
2024-02-02 00:00:00+00:00,18.376837980210595,18.92665225961905,18.255693274421823,18.339563369750977,13600
2024-02-05 00:00:00+00:00,18.078632822270443,18.55389607270999,17.575414060145917,17.827022552490234,12000
2024-02-06 00:00:00+00:00,17.435628379455334,17.817704198842495,17.23993269928132,17.59404945373535,21300
2024-02-07 00:00:00+00:00,17.510182367961484,17.510182367961484,16.93241082808387,17.006961822509766,11100
2024-02-08 00:00:00+00:00,16.773988972378653,17.4729051795611,16.773988972378653,17.06287384033203,6500
2024-02-09 00:00:00+00:00,16.92309317134326,17.128107979097248,16.857861267850453,16.8951358795166,29700
2024-02-12 00:00:00+00:00,16.77399118446047,18.087953685048323,16.77399118446047,17.631328582763672,17100
2024-02-13 00:00:00+00:00,17.249253080356233,17.985443931615244,16.53169864471493,16.550336837768555,24100
2024-02-14 00:00:00+00:00,17.42630987610064,17.4449462890625,16.941727590378875,17.4449462890625,15400
2024-02-15 00:00:00+00:00,17.70587683919254,17.70587683919254,17.156062626728016,17.407672882080078,32300
2024-02-16 00:00:00+00:00,17.333121786708094,17.649963933559683,16.876496757995106,17.0349178314209,15600
2024-02-20 00:00:00+00:00,16.78331056046783,17.333124867284234,16.78331056046783,16.811267852783203,16900
2024-02-21 00:00:00+00:00,16.88581614029373,17.230613802906618,16.88581614029373,17.05355453491211,13400
2024-02-22 00:00:00+00:00,16.979004429594937,17.472905875554193,16.979004429594937,17.18402099609375,29000
2024-02-23 00:00:00+00:00,17.295846365660974,17.55677572976936,17.15606347602415,17.3610782623291,10500
2024-02-26 00:00:00+00:00,17.18402212620482,17.575415314654734,17.18402212620482,17.519500732421875,7700
2024-02-27 00:00:00+00:00,17.57541324876088,17.80838531503847,17.43562858704568,17.603368759155273,10600
2024-02-28 00:00:00+00:00,17.454267974991016,17.780429245617096,17.15606399411092,17.20265769958496,22800
2024-02-29 00:00:00+00:00,17.389034529221846,17.761789472157343,17.389034529221846,17.677919387817383,8300
2024-03-01 00:00:00+00:00,17.649965552111006,17.649965552111006,17.267891477182552,17.389036178588867,8200
2024-03-04 00:00:00+00:00,17.29584602247841,17.519498996946805,17.249252319335938,17.249252319335938,5900
2024-03-05 00:00:00+00:00,17.295850469880566,17.705881917224776,17.016284624267325,17.27721405029297,13900
2024-03-06 00:00:00+00:00,17.323802889952905,17.38903478374193,17.03491802712901,17.230613708496094,7400
2024-03-07 00:00:00+00:00,17.342441847163837,17.46358654419952,17.249252661593992,17.3610782623291,6400
2024-03-08 00:00:00+00:00,17.63132757041628,17.705878566969236,17.39835548400879,17.39835548400879,7200
2024-03-11 00:00:00+00:00,17.556776150154448,17.95748841349444,17.538137957107025,17.743154525756836,17400
2024-03-12 00:00:00+00:00,17.687241433038096,17.948170825322585,17.687241433038096,17.724517822265625,8400
2024-03-13 00:00:00+00:00,17.854980332603244,18.22773531061915,17.854980332603244,18.218416213989258,7100
2024-03-14 00:00:00+00:00,18.218413679082868,18.637764081899892,17.88293513426494,18.004079818725586,12400
2024-03-15 00:00:00+00:00,17.873617756777648,19.31804390097542,17.873617756777648,19.187580108642578,69000
2024-03-18 00:00:00+00:00,19.029159599261245,19.029159599261245,18.7589111328125,18.7589111328125,8600
2024-03-19 00:00:00+00:00,18.693678906575393,19.560335314891326,18.693678906575393,19.476465225219727,9500
2024-03-20 00:00:00+00:00,19.168942333754813,19.457827213400172,19.1037104361674,19.206218719482422,8600
2024-03-21 00:00:00+00:00,18.80550868894804,19.6908016256742,18.74027678362924,19.411235809326172,14000
2024-03-22 00:00:00+00:00,19.53237779368137,19.53237779368137,18.637765884399414,18.637765884399414,7300
2024-03-25 00:00:00+00:00,18.60980641471683,18.64708279528623,17.789745593982186,18.348878860473633,13300
2024-03-26 00:00:00+00:00,18.544578334667666,18.62844843073762,18.255693435668945,18.255693435668945,11200
2024-03-27 00:00:00+00:00,18.255690779397753,18.721634899795987,18.255690779397753,18.67504119873047,14100
2024-03-28 00:00:00+00:00,18.62844648189071,18.91733135066724,18.553895490676254,18.805505752563477,16600
2024-04-01 00:00:00+00:00,18.693680758985355,18.693680758985355,18.265012949240056,18.27433204650879,13800
2024-04-02 00:00:00+00:00,18.404795975081896,18.60049168671092,18.097272872924805,18.097272872924805,13900
2024-04-03 00:00:00+00:00,18.265010263130566,18.619127020084555,18.181140177482238,18.330242156982422,11200
2024-04-04 00:00:00+00:00,18.721637633171177,18.82414592340453,18.497984636018785,18.535259246826172,9800
2024-04-05 00:00:00+00:00,18.563214702263064,18.693678493341185,18.44207000732422,18.44207000732422,5700
2024-04-08 00:00:00+00:00,18.824142245875016,18.824142245875016,18.814823150634766,18.814823150634766,3800
2024-04-09 00:00:00+00:00,18.852102283132766,18.852102283132766,18.106592259170284,18.57253646850586,4400
2024-04-10 00:00:00+00:00,18.227736848693898,18.563217245934354,17.52882053940034,17.733837127685547,14800
2024-04-11 00:00:00+00:00,17.705876350633854,18.162501369542124,17.705876350633854,18.115907669067383,16000
2024-04-12 00:00:00+00:00,18.134545098023622,18.53525734330816,17.622007254365066,17.985443115234375,10200
2024-04-15 00:00:00+00:00,17.901573201070327,18.059994281497314,17.69655841710899,17.71519660949707,7400
2024-04-16 00:00:00+00:00,17.640648381567992,17.938852396760726,17.640648381567992,17.668603897094727,7000
2024-04-17 00:00:00+00:00,17.612688120673784,17.892255670883873,17.612688120673784,17.70587730407715,5600
2024-04-18 00:00:00+00:00,17.687240233285966,17.938850511196467,17.612689237323888,17.761791229248047,13500
2024-04-19 00:00:00+00:00,17.659286451227423,17.929533171534434,17.659286451227423,17.84566307067871,9300
2024-04-22 00:00:00+00:00,17.80838414903477,18.190458170518863,17.74315225913783,18.004079818725586,5400
2024-04-23 00:00:00+00:00,18.17182159423828,18.25569168225271,17.94816861867842,18.17182159423828,5900
2024-04-24 00:00:00+00:00,18.17182404003281,18.17182404003281,17.938851936955466,18.013402938842773,11700
2024-04-25 00:00:00+00:00,17.929528833495414,18.470023920773084,17.84565875293201,18.004079818725586,8100
2024-04-26 00:00:00+00:00,18.181139613520998,18.451386276443866,18.17182051791183,18.39547348022461,12900
2024-04-29 00:00:00+00:00,18.451390270362747,18.451390270362747,18.143867158437907,18.311607360839844,9300
2024-04-30 00:00:00+00:00,18.4155391621129,18.4155391621129,18.141527455863272,18.188770294189453,11400
2024-05-01 00:00:00+00:00,18.42499027826649,18.52892669756551,18.35884957587583,18.510028839111328,10400
2024-05-02 00:00:00+00:00,18.339951622079717,18.897425828187156,18.11318272840535,18.774593353271484,18400
2024-05-03 00:00:00+00:00,18.887975614514893,19.15254020690918,18.77459207648794,19.15254020690918,6300
2024-05-06 00:00:00+00:00,19.18088801951461,19.37931194362774,18.538377004126982,19.294273376464844,23400
2024-05-07 00:00:00+00:00,19.473798861215755,19.483247790863683,19.2092342376709,19.2092342376709,23000
2024-05-08 00:00:00+00:00,19.294271304062754,19.606078749435703,18.897425300660917,19.549386978149414,12400
2024-05-09 00:00:00+00:00,19.606078783671062,19.842296600341797,19.407656682723125,19.842296600341797,19300
2024-05-10 00:00:00+00:00,19.84229843236659,19.94623485800174,19.558837747069557,19.832849502563477,17800
2024-05-13 00:00:00+00:00,19.88009406768768,20.03127333950135,19.53049087524414,19.53049087524414,12700
2024-05-14 00:00:00+00:00,19.728914059110036,19.98402976989746,19.143094799745395,19.98402976989746,8100
2024-05-15 00:00:00+00:00,20.503708945099792,20.503708945099792,19.70056793993246,19.81395149230957,16300
2024-05-16 00:00:00+00:00,19.832848851372216,19.936785273594722,19.738361358642578,19.738361358642578,12800
2024-05-17 00:00:00+00:00,19.870643387133896,19.89898837172708,19.78560482895652,19.842296600341797,8800
2024-05-20 00:00:00+00:00,19.813952063270666,20.08796562677632,19.728913495437816,19.898990631103516,5900
2024-05-21 00:00:00+00:00,20.050169785455264,20.05961871540165,19.87064552307129,19.87064552307129,4300
2024-05-22 00:00:00+00:00,19.842296323851944,19.98402665143968,19.776155624457594,19.795053482055664,9600
2024-05-23 00:00:00+00:00,19.99347661762896,19.99347661762896,19.105297088623047,19.105297088623047,11600
2024-05-24 00:00:00+00:00,19.001363415670273,19.29427302940757,18.88797806075957,19.237581253051758,6200
2024-05-28 00:00:00+00:00,18.869078340342114,18.963565826416016,18.831284427231896,18.963565826416016,7800
2024-05-29 00:00:00+00:00,18.869079891934526,19.388760206974503,18.755696341081507,18.906875610351562,11800
2024-05-30 00:00:00+00:00,19.152541636840706,19.369861602783203,18.88797702469399,19.369861602783203,11200
2024-05-31 00:00:00+00:00,19.51159193699792,19.51159193699792,19.228131268568486,19.369861602783203,8700
2024-06-03 00:00:00+00:00,19.549387299511437,19.549387299511437,18.727348492452105,19.313169479370117,10600
2024-06-04 00:00:00+00:00,19.1336452143787,19.360414126581517,19.020259857177734,19.020259857177734,7700
2024-06-05 00:00:00+00:00,19.086402175700485,19.36986286256571,19.086402175700485,19.275375366210938,8800
2024-06-06 00:00:00+00:00,19.24703025817871,19.24703025817871,19.24703025817871,19.24703025817871,4000
2024-06-07 00:00:00+00:00,19.209234806080737,19.313171233084432,18.935223046978876,19.00136375427246,5500
2024-06-10 00:00:00+00:00,18.906876257196295,19.09584944914952,18.89742732726877,19.00136375427246,5800
2024-06-11 00:00:00+00:00,18.89742585442223,19.067502975463867,18.89742585442223,19.067502975463867,7700
2024-06-12 00:00:00+00:00,19.47379672391597,19.47379672391597,18.81238613874489,19.171438217163086,9900
2024-06-13 00:00:00+00:00,19.086401668434394,19.143093443860902,18.821837046112275,18.906875610351562,9800
2024-06-14 00:00:00+00:00,18.878529388225786,18.925774037665253,18.699005126953125,18.699005126953125,14900
2024-06-17 00:00:00+00:00,18.66120757037051,19.284822463989258,18.42498975302405,19.284822463989258,13800
2024-06-18 00:00:00+00:00,19.11474421244513,19.398206657753146,18.77459180115386,18.831283569335938,15400
2024-06-20 00:00:00+00:00,18.68010606094022,18.94466887192111,18.68010606094022,18.812387466430664,6900
2024-06-21 00:00:00+00:00,18.802937213946826,19.294270688619328,18.802937213946826,18.897424697875977,27000
2024-06-24 00:00:00+00:00,18.878528397179966,18.878528397179966,18.661208427764144,18.840734481811523,11500
2024-06-25 00:00:00+00:00,18.68955573271549,18.68955573271549,18.349401473999023,18.349401473999023,11000
2024-06-26 00:00:00+00:00,18.160427198888023,18.566722178941355,18.160427198888023,18.453338623046875,12500
2024-06-27 00:00:00+00:00,18.510028564059663,18.510028564059663,18.283259672576108,18.462785720825195,10700
2024-06-28 00:00:00+00:00,18.613965212545107,19.36986152686006,18.424990232866886,19.36041259765625,86800
2024-07-01 00:00:00+00:00,19.360413619424822,19.360413619424822,18.74624760635572,18.944669723510742,22100
2024-07-02 00:00:00+00:00,19.08640075779723,19.19033537408713,18.96356648100149,19.058053970336914,7900
2024-07-03 00:00:00+00:00,19.152541535984685,19.152541535984685,18.925772641995493,19.067502975463867,9000
2024-07-05 00:00:00+00:00,19.06750312626273,19.06750312626273,18.491131056440835,18.51947784423828,22600
2024-07-08 00:00:00+00:00,18.699004324367287,18.699004324367287,18.377747930764077,18.58561897277832,5100
2024-07-09 00:00:00+00:00,18.632861800638,18.632861800638,18.207670787523167,18.292709350585938,7200
2024-07-10 00:00:00+00:00,18.585618318153674,18.595067247303195,18.236015148417227,18.491130828857422,9100
2024-07-11 00:00:00+00:00,18.87852809545314,19.454900163751827,18.68955491723318,19.369861602783203,27600
2024-07-12 00:00:00+00:00,19.492696299096565,19.53994095068283,19.086403108649762,19.40765953063965,15800
2024-07-15 00:00:00+00:00,19.483248865706813,20.11631276945022,19.483248865706813,19.66277313232422,26100
2024-07-16 00:00:00+00:00,19.84229597934457,20.31473159790039,19.83284705070959,20.31473159790039,34500
2024-07-17 00:00:00+00:00,20.220244605210937,20.787167721697,19.889539303744158,20.664335250854492,18700
2024-07-18 00:00:00+00:00,20.173002941268255,20.78716893574829,20.173002941268255,20.286386489868164,19400
2024-07-19 00:00:00+00:00,20.29583421979751,20.29583421979751,19.728911103706185,19.82339859008789,18700
2024-07-22 00:00:00+00:00,19.653321361620197,19.653321361620197,19.294271078080502,19.521039962768555,13600
2024-07-23 00:00:00+00:00,19.237578968645902,20.286384816581712,19.21868111137167,20.04071807861328,15100
2024-07-24 00:00:00+00:00,20.16355518844726,20.64543980361361,19.889541625976562,19.889541625976562,13600
2024-07-25 00:00:00+00:00,20.31473183477152,20.447013232805926,20.06906509399414,20.06906509399414,20400
2024-07-26 00:00:00+00:00,20.343081092584576,20.437566787117877,20.050169672494217,20.428119659423828,11500
2024-07-29 00:00:00+00:00,20.191900683340776,20.418669581428304,19.672220381632734,19.691118240356445,9700
2024-07-30 00:00:00+00:00,19.851745983631385,20.20134735107422,19.776156352654642,20.20134735107422,10000
2024-07-31 00:00:00+00:00,20.399772233924935,20.81551612527015,20.399772233924935,20.626541137695312,49000
2024-08-01 00:00:00+00:00,20.57870626291801,20.722211518912363,18.990577537074742,19.10538101196289,16400
2024-08-02 00:00:00+00:00,18.473955533054205,18.512224572679866,17.861665497189616,18.081707000732422,30100
2024-08-05 00:00:00+00:00,17.345045251159554,18.081707876728025,17.21110725551741,17.24937629699707,20400
2024-08-06 00:00:00+00:00,17.249375830540497,17.842531359288497,17.249375830540497,17.6894588470459,13300
2024-08-07 00:00:00+00:00,18.177376497082513,18.225210968483378,16.981496464379717,17.402446746826172,20200
2024-08-08 00:00:00+00:00,17.69902743204933,18.273050308312722,17.69902743204933,18.26348304748535,9600
2024-08-09 00:00:00+00:00,17.909500514220422,17.909500514220422,17.54595375061035,17.54595375061035,6600
2024-08-12 00:00:00+00:00,17.679892227614,17.679892227614,16.924096899123892,17.029333114624023,6400
2024-08-13 00:00:00+00:00,17.622490244494752,17.622490244494752,17.20153991404487,17.278076171875,8300
2024-08-14 00:00:00+00:00,17.37374679589957,17.65119186854747,17.220674281600147,17.498119354248047,10700
