"('date', '')","('open', 'BCPC')","('high', 'BCPC')","('low', 'BCPC')","('close', 'BCPC')","('volume', 'BCPC')"
2024-01-02 00:00:00+00:00,147.12033990283373,147.2297680403091,143.92703893060062,145.4391326904297,285400
2024-01-03 00:00:00+00:00,144.93180007296934,145.0213280504001,139.42062293397464,141.98719787597656,156900
2024-01-04 00:00:00+00:00,142.11651255162838,143.33016450496945,141.84791346572436,142.6437530517578,152300
2024-01-05 00:00:00+00:00,141.420170286839,142.81287829289633,139.09235182840945,139.44052124023438,127400
2024-01-08 00:00:00+00:00,139.93792240579745,141.80814335438643,139.2614685525337,141.69871520996094,87800
2024-01-09 00:00:00+00:00,139.55988665332018,140.504954742832,138.8933753339759,140.4253692626953,74000
2024-01-10 00:00:00+00:00,139.82849248530613,140.83324593846345,139.0724531566651,140.6541748046875,87700
2024-01-11 00:00:00+00:00,139.9578162788672,140.64422777400188,138.6844789351948,139.62953186035156,108300
2024-01-12 00:00:00+00:00,141.44004776428267,141.9772459519422,139.4604140021521,140.10702514648438,54500
2024-01-16 00:00:00+00:00,139.1221845329993,140.77353385649113,136.2671105557934,136.78440856933594,124700
2024-01-17 00:00:00+00:00,135.1330429892168,137.65983254418796,135.1330429892168,136.34669494628906,96000
2024-01-18 00:00:00+00:00,136.79435744054064,139.64943155088017,136.02837564598616,138.8535919189453,123100
2024-01-19 00:00:00+00:00,139.6295279892705,140.46515275175526,137.5901937256,140.3258819580078,101800
2024-01-22 00:00:00+00:00,141.26099786613977,144.21554248656355,141.26099786613977,143.45950317382812,196400
2024-01-23 00:00:00+00:00,144.70298882330522,144.94173007588043,141.0620329277561,141.2410888671875,111600
2024-01-24 00:00:00+00:00,142.633820406947,143.10137562679515,138.65463738143308,138.95306396484375,70000
2024-01-25 00:00:00+00:00,140.71386089430317,140.71386089430317,137.62004539265746,138.64468383789062,97900
2024-01-26 00:00:00+00:00,139.58974373135396,139.97771345779947,138.12739279797205,138.70436096191406,73800
2024-01-29 00:00:00+00:00,138.19702447784508,141.36048287236005,137.97816819737142,141.18141174316406,59700
2024-01-30 00:00:00+00:00,140.21645073403732,142.36521308686457,139.90806649605685,142.18614196777344,85500
2024-01-31 00:00:00+00:00,142.65370094513597,142.93224253388703,139.3211443728007,139.43057250976562,135100
2024-02-01 00:00:00+00:00,140.63427470455505,142.30553950993573,139.1122383739539,142.15631103515625,97600
2024-02-02 00:00:00+00:00,140.47511676574953,142.7929775421806,140.28610314154935,142.3950653076172,101100
2024-02-05 00:00:00+00:00,140.64422337744634,140.92276496395627,137.65983622537294,139.54994201660156,116900
2024-02-06 00:00:00+00:00,139.57978764274597,141.91756370001437,139.57978764274597,140.47511291503906,83700
2024-02-07 00:00:00+00:00,140.6044251057607,143.1610574228828,139.18187449522435,141.53953552246094,131600
2024-02-08 00:00:00+00:00,141.75839520680591,142.8924617612852,141.16151168155213,142.6835479736328,84600
2024-02-09 00:00:00+00:00,143.15110658245663,144.84227155092267,142.25579645275732,144.38465881347656,106700
2024-02-12 00:00:00+00:00,144.44434112756142,145.82710662498116,143.44954536886004,144.57366943359375,135500
2024-02-13 00:00:00+00:00,141.40026761667383,143.6485005521672,138.84365042668566,139.848388671875,179700
2024-02-14 00:00:00+00:00,141.53954280944367,142.69350956092592,139.4604232657521,141.98719787597656,119500
2024-02-15 00:00:00+00:00,141.91755956423535,146.07579834395864,140.85312086893958,145.62814331054688,118300
2024-02-16 00:00:00+00:00,147.22977108441006,150.7513413625025,144.2851689837953,148.42352294921875,129400
2024-02-20 00:00:00+00:00,147.68737520394646,156.6504789297951,147.56798939885635,156.45152282714844,184400
2024-02-21 00:00:00+00:00,154.19334372829624,155.5363240841329,151.54718334771457,152.86032104492188,190100
2024-02-22 00:00:00+00:00,152.5618782528861,154.76038355985796,152.28333665463336,154.48182678222656,160100
2024-02-23 00:00:00+00:00,154.19334717595694,156.4316376994789,154.19334717595694,156.06356811523438,103900
2024-02-26 00:00:00+00:00,154.92949950771958,155.42689739536291,153.2781348776928,154.6310577392578,131200
2024-02-27 00:00:00+00:00,155.38708392767774,155.38708392767774,153.4173927093514,153.835205078125,69200
2024-02-28 00:00:00+00:00,152.20374078003428,153.52682087108536,152.14405546725231,153.2781219482422,70600
2024-02-29 00:00:00+00:00,154.93943991634703,157.4463294865679,154.46194220085974,156.3719482421875,91700
2024-03-01 00:00:00+00:00,156.47140830764982,156.7798077240136,154.70067318354174,156.11328125,72700
