"('date', '')","('open', 'CURI')","('high', 'CURI')","('low', 'CURI')","('close', 'CURI')","('volume', 'CURI')"
2020-01-08 00:00:00+00:00,8.833585759140078,8.886907577514648,8.744717191877863,8.886907577514648,164300
2020-01-09 00:00:00+00:00,8.886906937374036,8.886906937374036,8.7980375289917,8.7980375289917,27400
2020-01-10 00:00:00+00:00,8.7980375289917,8.7980375289917,8.7980375289917,8.7980375289917,3700
2020-01-13 00:00:00+00:00,8.851359961060865,8.886907557389561,8.833585739135742,8.833585739135742,108000
2020-01-14 00:00:00+00:00,8.833585739135742,8.833585739135742,8.833585739135742,8.833585739135742,0
2020-01-15 00:00:00+00:00,8.833585739135742,8.833585739135742,8.833585739135742,8.833585739135742,1200
2020-01-16 00:00:00+00:00,8.833585739135742,8.833585739135742,8.833585739135742,8.833585739135742,0
2020-01-17 00:00:00+00:00,8.775821685791016,8.775821685791016,8.775821685791016,8.775821685791016,80300
2020-01-21 00:00:00+00:00,8.775821685791016,8.775821685791016,8.775821685791016,8.775821685791016,0
2020-01-22 00:00:00+00:00,8.775821685791016,8.775821685791016,8.775821685791016,8.775821685791016,0
2020-01-23 00:00:00+00:00,8.833585739135742,8.833585739135742,8.833585739135742,8.833585739135742,100
2020-01-24 00:00:00+00:00,8.833585739135742,8.833585739135742,8.833585739135742,8.833585739135742,0
2020-01-27 00:00:00+00:00,8.780264854431152,8.780264854431152,8.780264854431152,8.780264854431152,13200
2020-01-28 00:00:00+00:00,8.80692463933423,8.80692463933423,8.7980375289917,8.7980375289917,88600
2020-01-29 00:00:00+00:00,8.789151266170657,8.7980375289917,8.789151266170657,8.7980375289917,325800
2020-01-30 00:00:00+00:00,8.7980375289917,8.7980375289917,8.7980375289917,8.7980375289917,0
2020-01-31 00:00:00+00:00,8.7980375289917,8.7980375289917,8.7980375289917,8.7980375289917,0
2020-02-03 00:00:00+00:00,8.79803866213346,8.81581288510775,8.79803866213346,8.806925773620605,120300
2020-02-04 00:00:00+00:00,8.780265465424554,8.815813064575195,8.780265465424554,8.815813064575195,33200
2020-02-05 00:00:00+00:00,8.809592255911873,8.82470017624326,8.809592255911873,8.815813064575195,254800
2020-02-06 00:00:00+00:00,8.824699968440527,8.829143524169922,8.821144615344052,8.829143524169922,338100
2020-02-07 00:00:00+00:00,8.833585739135742,8.833585739135742,8.833585739135742,8.833585739135742,201000
2020-02-10 00:00:00+00:00,8.85758113861084,8.85758113861084,8.85758113861084,8.85758113861084,200
2020-02-11 00:00:00+00:00,8.857581327047862,8.872689247131348,8.857581327047862,8.872689247131348,200
