"('date', '')","('open', 'BCS')","('high', 'BCS')","('low', 'BCS')","('close', 'BCS')","('volume', 'BCS')"
2024-01-02 00:00:00+00:00,7.376548459209125,7.4884555373383,7.3392460998327325,7.385874271392822,21972700
2024-01-03 00:00:00+00:00,7.283292732655666,7.413850993554245,7.255316184802719,7.3392462730407715,27234800
2024-01-04 00:00:00+00:00,7.348571268993145,7.507106504810075,7.339245457625484,7.404524803161621,21791800
2024-01-05 00:00:00+00:00,7.423175918420843,7.563059530319097,7.413850107132075,7.488454818725586,22603500
2024-01-08 00:00:00+00:00,7.469804726114929,7.563060178925224,7.432501922439937,7.553735256195068,21618900
2024-01-09 00:00:00+00:00,7.441827019940357,7.460478197647309,7.348571131405596,7.367222309112549,22304000
2024-01-10 00:00:00+00:00,7.376547644393503,7.413849999649466,7.339245289137541,7.395198822021484,21479100
2024-01-11 00:00:00+00:00,7.143408057640485,7.17138504781605,6.966221639006376,7.012849807739258,26340600
2024-01-12 00:00:00+00:00,7.134082690701413,7.180710414755122,6.966221639006376,7.012849807739258,27873100
2024-01-16 00:00:00+00:00,6.826337984454291,6.835663351341846,6.742407459070442,6.779709815979004,20099700
2024-01-17 00:00:00+00:00,6.695779459775882,6.761058808354848,6.677128280850346,6.733081817626953,17339900
2024-01-18 00:00:00+00:00,6.789035457930389,6.817012002573266,6.723756112631741,6.798360824584961,17159400
2024-01-19 00:00:00+00:00,6.770384416556858,6.87296567522287,6.742407426670293,6.863640308380127,17320200
2024-01-22 00:00:00+00:00,6.928919619522376,7.022175961532311,6.919594252128899,6.975547790527344,15352300
2024-01-23 00:00:00+00:00,7.050152607503098,7.0967807791635655,6.994199068318058,7.068803787231445,16858200
2024-01-24 00:00:00+00:00,7.124757326416486,7.143408506144832,7.059478419706872,7.068803787231445,19274200
2024-01-25 00:00:00+00:00,7.068803172558254,7.096780162057613,6.956896103919138,7.031500816345215,21605900
2024-01-26 00:00:00+00:00,7.18071014644988,7.218012502170724,7.134082424138403,7.199361324310303,19452400
2024-01-29 00:00:00+00:00,7.096780572866591,7.152734110425113,7.031501223375389,7.143408298492432,15779100
2024-01-30 00:00:00+00:00,7.162059609239376,7.2646413189872625,7.162059609239376,7.236664772033691,15670300
2024-01-31 00:00:00+00:00,7.20868723069673,7.255315398302609,7.031500816345215,7.031500816345215,23229400
2024-02-01 00:00:00+00:00,7.1434081612638005,7.18071051891955,6.966221740059399,7.134082794189453,25513500
2024-02-02 00:00:00+00:00,7.236664775836442,7.264641322804715,7.143408433464343,7.180710792541504,21506300
2024-02-05 00:00:00+00:00,6.994198524144026,7.022175513899435,6.882291454480721,6.919593811035156,12148000
2024-02-06 00:00:00+00:00,6.956896441112258,7.003524610978154,6.938245262101737,6.994198799133301,9325400
2024-02-07 00:00:00+00:00,6.9475709721061865,6.966222152037079,6.826338524894983,6.928919792175293,10773600
2024-02-08 00:00:00+00:00,6.891617162478394,6.910268341679018,6.79836126647528,6.854314804077148,6307000
2024-02-09 00:00:00+00:00,6.826338291168213,6.844989470460509,6.770384753291324,6.826338291168213,7542400
2024-02-12 00:00:00+00:00,6.770384753291324,6.891617196351654,6.770384753291324,6.826338291168213,10218400
