"('date', '')","('open', 'CSAN')","('high', 'CSAN')","('low', 'CSAN')","('close', 'CSAN')","('volume', 'CSAN')"
2021-03-08 00:00:00+00:00,14.083073365208538,14.528739388432262,13.459139912644801,14.038506507873535,343900
2021-03-09 00:00:00+00:00,13.681973913044919,13.904807358859708,13.361093207044654,13.592840194702148,373200
2021-03-10 00:00:00+00:00,14.0830757665964,14.207861968361915,13.592841952402928,14.127642631530762,187700
2021-03-11 00:00:00+00:00,14.680266132995712,14.831792937286538,13.967199818735473,14.377212524414062,6253500
2021-03-12 00:00:00+00:00,13.83350109921487,14.65352827004679,13.610667647359286,14.537653923034668,5877400
2021-03-15 00:00:00+00:00,14.127641938240558,14.502002225250493,13.922634709619782,14.41286849975586,658500
2021-03-16 00:00:00+00:00,14.635700757167113,14.644614298990358,13.940460645754568,14.109813690185547,667400
2021-03-17 00:00:00+00:00,14.145467280656069,15.197240584892064,14.10981396271658,15.188328742980957,786700
2021-03-18 00:00:00+00:00,15.018975223155964,15.411162580401017,14.751574056818013,14.840707778930664,886700
2021-03-19 00:00:00+00:00,15.01897667967026,15.535950277957618,14.929842948913574,14.929842948913574,1408000
2021-03-22 00:00:00+00:00,15.090280075406989,15.161586704643522,14.608959052997285,14.662440299987793,706000
2021-03-23 00:00:00+00:00,14.77831263513357,15.134845774082658,14.733746630296475,14.79613971710205,821500
2021-03-24 00:00:00+00:00,14.822881428812169,15.045714895090722,14.377214496255064,14.635702133178711,668900
2021-03-25 00:00:00+00:00,14.15438081786081,14.591135025024414,14.083074182005968,14.591135025024414,376500
2021-03-26 00:00:00+00:00,14.430694138134683,14.52873969627334,13.842413138923682,14.163293838500977,399100
2021-03-29 00:00:00+00:00,14.065246337145377,14.127640277674706,13.713169947913338,13.762192726135254,184300
2021-03-30 00:00:00+00:00,14.25242730493215,14.489522762946102,14.154380892624395,14.216773986816406,354600
2021-03-31 00:00:00+00:00,14.216772980450921,14.510913896637083,14.056333485308217,14.395039558410645,163300
2021-04-01 00:00:00+00:00,14.314818835033085,14.52873872035385,14.181119119218124,14.323732376098633,225000
2021-04-05 00:00:00+00:00,14.65352660494205,14.65352660494205,14.198946210801271,14.519826889038086,115900
2021-04-06 00:00:00+00:00,14.707006607861269,14.751572614518086,14.42178008505561,14.430693626403809,253500
2021-04-07 00:00:00+00:00,14.546567884417813,14.60450505959389,13.940461455928528,13.967201232910156,162000
2021-04-08 00:00:00+00:00,14.20785943904241,14.528739279369912,14.074159718083143,14.395039558410645,229100
2021-04-09 00:00:00+00:00,14.056334495544434,14.198947768161903,13.993940551242673,14.056334495544434,126200
2021-04-12 00:00:00+00:00,14.163293997371051,14.243513323123079,13.878066611209372,13.949373245239258,128200
2021-04-13 00:00:00+00:00,13.833500754558502,14.190033928627685,13.80676012897171,13.931547164916992,83200
2021-04-14 00:00:00+00:00,14.011766831101257,14.368300842222945,14.011766831101257,14.100899696350098,175900
2021-04-15 00:00:00+00:00,14.386127370927422,14.475261093316997,14.109814361595658,14.421781539916992,2413300
2021-04-16 00:00:00+00:00,14.279168041807377,14.707007862514844,13.97611441045184,14.118727684020996,723500
2021-04-19 00:00:00+00:00,14.172207407680007,14.6000472335525,14.172207407680007,14.439608573913574,193300
2021-04-20 00:00:00+00:00,14.867446344891869,14.965493595634408,14.644612920538176,14.79613971710205,149100
2021-04-21 00:00:00+00:00,14.79614130778244,15.152674485061139,14.7248346723267,15.027888298034668,104700
2021-04-22 00:00:00+00:00,14.974405502087917,15.330940342681913,14.938753038078987,15.295286178588867,151900
2021-04-23 00:00:00+00:00,15.259633953458936,15.411160753058196,14.546565961192472,14.564393043518066,241600
2021-04-26 00:00:00+00:00,14.956581576161136,14.956581576161136,14.58667723806381,14.769400596618652,192200
2021-04-27 00:00:00+00:00,14.849619560390995,15.081366530371284,14.564393043518066,14.564393043518066,225900
2021-04-28 00:00:00+00:00,14.849620859353172,15.125933859233626,14.805054849724945,15.027888298034668,165000
2021-04-29 00:00:00+00:00,15.152673467131303,15.428986448449539,15.143759925787595,15.268546104431152,104500
2021-04-30 00:00:00+00:00,15.1794154501322,15.259635629323279,14.60004711151123,14.60004711151123,322800
2021-05-03 00:00:00+00:00,14.760489030484326,14.938756491997694,14.528742010550749,14.929842948913574,140900
